"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"aparima river at dunrobin","ECOLI","2005-01-18","2019-12-09","179","6","8000"
"aparima river at dunrobin","TON","2006-01-18","2019-12-09","167","0.002","0.343"
"aparima river at dunrobin","TN","2006-01-18","2019-12-09","167","0.05","1.24"
"aparima river at dunrobin","PH","2006-01-18","2019-12-09","166","6.4","7.9"
"aparima river at dunrobin","DRP","2006-01-18","2019-12-09","166","0.004","0.057"
"aparima river at dunrobin","TP","2006-01-18","2019-12-09","167","0.004","0.43"
"aparima river at dunrobin","TURB","2006-01-18","2019-12-09","152","0.16","130"
"aparima river at dunrobin","NH4","2006-01-18","2019-12-09","167","0.01","0.018"
"aparima river at thornbury","ECOLI","2005-01-17","2019-12-09","180","10","68000"
"aparima river at thornbury","TON","2006-01-16","2019-12-09","168","0.178","2.4"
"aparima river at thornbury","TN","2006-01-16","2019-12-09","167","0.34","3.4"
"aparima river at thornbury","PH","2006-01-16","2019-12-09","167","6.6","8"
"aparima river at thornbury","DRP","2006-01-16","2019-12-09","168","0.004","0.047"
"aparima river at thornbury","TP","2006-01-16","2019-12-09","167","0.004","0.28"
"aparima river at thornbury","TURB","2006-01-16","2019-12-09","167","0.44","108"
"aparima river at thornbury","NH4","2006-01-16","2019-12-09","168","0.01","0.25"
"longridge stream at sandstone","ECOLI","2005-07-14","2019-12-11","173","10","130000"
"longridge stream at sandstone","TON","2006-01-19","2019-12-11","167","1.3","9.342"
"longridge stream at sandstone","TN","2006-01-19","2019-12-11","167","1.8","11"
"longridge stream at sandstone","PH","2006-01-19","2019-12-11","167","6.9","9.3"
"longridge stream at sandstone","DRP","2006-01-19","2019-12-11","167","0.004","0.33"
"longridge stream at sandstone","TP","2006-01-19","2019-12-11","167","0.02","0.89"
"longridge stream at sandstone","TURB","2006-01-19","2019-12-11","152","1.11","172"
"longridge stream at sandstone","NH4","2006-01-19","2019-12-11","167","0.01","0.93"
"makarewa river at lora gorge road","ECOLI","2005-01-18","2019-12-10","178","30","48000"
"makarewa river at lora gorge road","TON","2006-01-17","2019-12-10","167","0.019","1.81"
"makarewa river at lora gorge road","TN","2006-01-17","2019-12-10","167","0.13","3.9"
"makarewa river at lora gorge road","PH","2006-01-17","2019-12-10","167","6.7","8.5"
"makarewa river at lora gorge road","DRP","2006-01-17","2019-12-10","167","0.004","0.1"
"makarewa river at lora gorge road","TP","2006-01-17","2019-12-10","167","0.01","0.93"
"makarewa river at lora gorge road","TURB","2006-01-17","2019-12-10","152","1.61","210"
"makarewa river at lora gorge road","NH4","2006-01-17","2019-12-10","167","0.01","0.17"
"makarewa river at wallacetown","ECOLI","2005-01-18","2019-12-10","180","30","140000"
"makarewa river at wallacetown","TON","2006-01-17","2019-12-10","169","0.116","4.179"
"makarewa river at wallacetown","TN","2006-01-17","2019-12-10","169","0.47","6.7"
"makarewa river at wallacetown","PH","2006-01-17","2019-12-10","169","6.7","7.8"
"makarewa river at wallacetown","DRP","2006-01-17","2019-12-10","169","0.005","0.23"
"makarewa river at wallacetown","TP","2006-01-17","2019-12-10","169","0.017","0.44"
"makarewa river at wallacetown","TURB","2006-01-17","2019-12-10","153","1.89","148"
"makarewa river at wallacetown","NH4","2006-01-17","2019-12-10","169","0.01","1.7"
"mararoa river at south mavora lake","ECOLI","2005-01-18","2019-12-12","177","1","120"
"mararoa river at south mavora lake","TON","2006-01-19","2019-12-12","166","0.001","0.56"
"mararoa river at south mavora lake","TN","2006-01-19","2019-12-12","166","0.037","0.68"
"mararoa river at south mavora lake","PH","2006-01-19","2019-12-12","166","6.1","7.8"
"mararoa river at south mavora lake","DRP","2006-01-19","2019-12-12","165","0.004","0.01"
