"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"aropaoanui river at aropaoanui","NH4","2005-02-14","2019-12-18","119","0.005","0.2"
"aropaoanui river at aropaoanui","BDISC","2005-02-14","2019-12-18","111","0.05","6.1"
"aropaoanui river at aropaoanui","DRP","2005-02-14","2019-11-13","118","0.004","0.064"
"aropaoanui river at aropaoanui","ECOLI","2005-02-14","2019-12-18","112","1","9000"
"aropaoanui river at aropaoanui","TON","2005-02-14","2019-12-18","119","0.001","0.65"
"aropaoanui river at aropaoanui","PH","2005-08-15","2018-07-02","79","6.58","9.4"
"aropaoanui river at aropaoanui","TN","2005-02-14","2019-12-18","115","0.11","1.42"
"aropaoanui river at aropaoanui","TP","2005-02-14","2019-12-18","238","0.015","0.33"
"aropaoanui river at aropaoanui","TURBFNU","2018-11-30","2019-12-18","14","0.4","50"
"aropaoanui river at aropaoanui","TURB","2005-02-14","2019-06-26","107","0.48","186"
"kioreau stream at porangahau road","NH4","2012-04-18","2019-12-11","24","0.005","0.36"
"kioreau stream at porangahau road","BDISC","2012-04-18","2019-12-11","7","0.17","0.947"
"kioreau stream at porangahau road","DRP","2012-04-18","2019-12-11","25","0.139","1.4"
"kioreau stream at porangahau road","ECOLI","2018-02-15","2019-10-21","16","30","5800"
"kioreau stream at porangahau road","TON","2012-04-18","2019-12-11","24","0.0011","1.03"
"kioreau stream at porangahau road","PH","2012-04-18","2018-06-21","6","7.44","8.75"
"kioreau stream at porangahau road","TN","2012-04-18","2019-12-11","24","0.93","3.1"
"kioreau stream at porangahau road","TP","2012-04-18","2019-12-11","50","0.22","1.76"
"kioreau stream at porangahau road","TURBFNU","2018-11-28","2019-12-11","13","2.2","29"
"kioreau stream at porangahau road","TURB","2012-04-18","2019-06-19","14","3","29.3"
"kopuawhara stream at railway bridge","NH4","2005-02-15","2019-12-05","119","0.005","0.062"
"kopuawhara stream at railway bridge","BDISC","2005-02-15","2019-12-05","111","0.07","6.1"
"kopuawhara stream at railway bridge","DRP","2005-02-15","2019-12-05","119","0.001","0.033"
"kopuawhara stream at railway bridge","ECOLI","2005-02-15","2019-12-05","111","1","7700"
"kopuawhara stream at railway bridge","TON","2005-02-15","2019-12-05","119","0.001","0.45"
"kopuawhara stream at railway bridge","PH","2005-11-22","2018-06-28","81","7.26","8.87"
"kopuawhara stream at railway bridge","TN","2005-02-15","2019-12-05","120","0.1","1.22"
"kopuawhara stream at railway bridge","TP","2005-02-15","2019-12-05","238","0.004","0.3"
"kopuawhara stream at railway bridge","TURBFNU","2018-11-29","2019-12-05","14","0.64","18.8"
"kopuawhara stream at railway bridge","TURB","2005-02-15","2019-06-25","109","0","270"
"awanui stream at flume","NH4","2009-08-05","2019-12-11","99","0.005","0.57"
"awanui stream at flume","BDISC","2009-08-05","2019-11-05","78","0","2.8"
"awanui stream at flume","DRP","2009-08-05","2019-12-11","97","0.06","0.66"
"awanui stream at flume","ECOLI","2009-08-05","2019-12-11","95","5","80000"
"awanui stream at flume","TON","2009-08-05","2019-12-11","100","0.001","5"
"awanui stream at flume","PH","2009-08-05","2018-06-07","75","7.1","8.57"
"awanui stream at flume","TN","2009-08-05","2019-12-11","99","0.52","8.6"
"awanui stream at flume","TP","2009-08-05","2019-12-11","198","0.086","1.23"
"awanui stream at flume","TURBFNU","2018-11-08","2019-12-11","14","0.53","3.6"
"awanui stream at flume","TURB","2009-08-05","2019-06-06","83","0.74","185"
"maharakeke stream at state highway 2 br","NH4","2015-02-23","2019-12-18","50","0.005","0.17"
"maharakeke stream at state highway 2 br","BDISC","2015-02-23","2019-11-20","36","0.41","8"
"maharakeke stream at state highway 2 br","DRP","2015-02-23","2019-12-18","50","0.0023","0.21"
"maharakeke stream at state highway 2 br","ECOLI","2015-02-23","2019-10-23","37","8","2500"
"maharakeke stream at state highway 2 br","TON","2015-02-23","2019-12-18","50","0.0126","3.8"
"maharakeke stream at state highway 2 br","PH","2015-02-23","2018-05-15","28","7.26","8.7"
"maharakeke stream at state highway 2 br","TN","2015-02-23","2019-12-18","50","0.24","4.6"
"maharakeke stream at state highway 2 br","TP","2015-02-23","2019-12-18","100","0.01","0.24"
"maharakeke stream at state highway 2 br","TURBFNU","2018-11-22","2019-12-18","14","0.2","7.2"
"maharakeke stream at state highway 2 br","TURB","2015-02-23","2019-06-19","40","0.27","28"
"mahiaruhe stream at tutira outlet s.h.2","NH4","2005-02-14","2019-12-18","70","0.005","0.27"
"mahiaruhe stream at tutira outlet s.h.2","BDISC","2005-02-14","2019-12-18","66","0.03","3"
"mahiaruhe stream at tutira outlet s.h.2","DRP","2005-02-14","2019-11-13","69","0.0066","0.095"
"mahiaruhe stream at tutira outlet s.h.2","ECOLI","2005-02-14","2019-12-18","62","4","24000"
"mahiaruhe stream at tutira outlet s.h.2","TON","2005-02-14","2019-12-18","70","0.054","4.6"
"mahiaruhe stream at tutira outlet s.h.2","PH","2005-08-15","2018-07-02","34","7.06","9.06"
"mahiaruhe stream at tutira outlet s.h.2","TN","2005-02-14","2019-12-18","63","0.291","5"
"mahiaruhe stream at tutira outlet s.h.2","TP","2005-02-14","2019-12-18","140","0.026","0.83"
"mahiaruhe stream at tutira outlet s.h.2","TURBFNU","2018-11-30","2019-12-18","14","2","43"
"mahiaruhe stream at tutira outlet s.h.2","TURB","2005-02-14","2019-06-26","66","1.34","410"
"makara stream at st lawrence road","NH4","2011-12-08","2019-12-17","60","0.005","0.145"
"makara stream at st lawrence road","BDISC","2011-12-08","2019-10-22","32","0.02","4.5"
"makara stream at st lawrence road","DRP","2011-12-08","2019-12-17","59","0.002","0.154"
"makara stream at st lawrence road","ECOLI","2011-12-22","2019-10-22","36","20","17000"
"makara stream at st lawrence road","TON","2011-12-08","2019-12-17","60","0.001","0.61"
"makara stream at st lawrence road","PH","2011-12-08","2018-06-18","38","7.02","8.61"
"makara stream at st lawrence road","TN","2011-12-08","2019-12-17","60","0.19","2.1"
"makara stream at st lawrence road","TP","2011-12-08","2019-12-17","120","0.012","0.97"
"makara stream at st lawrence road","TURBFNU","2018-11-22","2019-12-17","14","0.55","126"
"makara stream at st lawrence road","TURB","2011-12-08","2019-06-19","50","0.69","1000"
"makaretu stream at speedy rd bridge gw8","NH4","2011-12-01","2019-12-18","60","0.005","0.029"
"makaretu stream at speedy rd bridge gw8","BDISC","2011-12-01","2019-12-18","55","0.08","5.15"
"makaretu stream at speedy rd bridge gw8","DRP","2011-12-01","2019-12-18","58","0.0015","0.038"
"makaretu stream at speedy rd bridge gw8","ECOLI","2011-12-22","2019-10-23","34","16","1000"
"makaretu stream at speedy rd bridge gw8","TON","2011-12-01","2019-12-18","60","0.001","2"
"makaretu stream at speedy rd bridge gw8","PH","2011-12-01","2018-06-18","39","5.8","8.57"
"makaretu stream at speedy rd bridge gw8","TN","2011-12-01","2019-12-18","60","0.11","2.4"
"makaretu stream at speedy rd bridge gw8","TP","2011-12-01","2019-12-18","120","0.006","0.7"
"makaretu stream at speedy rd bridge gw8","TURBFNU","2018-11-22","2019-12-18","14","0.53","73"
"makaretu stream at speedy rd bridge gw8","TURB","2011-12-01","2019-06-19","44","0.61","85"
"makaretu stream at state highway 50","NH4","2005-01-17","2019-12-17","182","0.005","0.128"
"makaretu stream at state highway 50","BDISC","2005-01-17","2019-12-17","167","0.02","7.9"
"makaretu stream at state highway 50","DRP","2005-01-17","2019-12-17","181","0.004","0.042"
"makaretu stream at state highway 50","ECOLI","2005-01-17","2019-12-17","170","1","1300"
"makaretu stream at state highway 50","TON","2005-01-17","2019-12-17","182","0.001","3.9"
"makaretu stream at state highway 50","PH","2005-05-30","2018-06-18","113","6.32","10.05"
"makaretu stream at state highway 50","TN","2005-01-17","2019-12-17","176","0.1","3.892"
"makaretu stream at state highway 50","TP","2005-01-17","2019-12-17","360","0.006","0.507"
"makaretu stream at state highway 50","TURBFNU","2018-11-21","2019-12-17","14","0.37","9.9"
"makaretu stream at state highway 50","TURB","2005-01-17","2019-06-18","188","0","944"
"makaroro river at burnt bridge","NH4","2016-07-19","2019-12-17","42","0.005","0.028"
"makaroro river at burnt bridge","BDISC","2016-07-19","2019-12-17","39","0.05","9.8"
"makaroro river at burnt bridge","DRP","2016-07-19","2019-12-17","40","0.001","0.0083"
"makaroro river at burnt bridge","ECOLI","2016-07-19","2019-11-19","25","1","300"
"makaroro river at burnt bridge","TON","2016-07-19","2019-12-17","42","0.001","0.171"
"makaroro river at burnt bridge","PH","2016-07-19","2018-06-18","24","7.15","8.45"
"makaroro river at burnt bridge","TN","2016-07-19","2019-12-17","41","0.1","23"
"makaroro river at burnt bridge","TP","2016-07-19","2019-12-17","84","0.004","0.42"
"makaroro river at burnt bridge","TURBFNU","2018-11-22","2019-12-17","14","0.41","22"
"makaroro river at burnt bridge","TURB","2016-07-19","2019-06-18","32","0.47","760"
"mangakuri river at kairakau","NH4","2005-01-31","2019-12-11","119","0.005","0.096"
"mangakuri river at kairakau","BDISC","2005-01-31","2019-12-11","104","0.001","5.4"
"mangakuri river at kairakau","DRP","2005-01-31","2019-11-28","118","0.001","0.037"
"mangakuri river at kairakau","ECOLI","2005-01-31","2019-11-28","115","10","4800"
"mangakuri river at kairakau","TON","2005-01-31","2019-12-11","119","0.001","1.01"
"mangakuri river at kairakau","PH","2005-08-03","2018-06-21","85","6.84","8.65"
"mangakuri river at kairakau","TN","2005-01-31","2019-12-11","117","0.12","3.9"
"mangakuri river at kairakau","TP","2005-01-31","2019-12-11","238","0.004","1.43"
"mangakuri river at kairakau","TURBFNU","2018-11-28","2019-12-11","13","0.94","59"
"mangakuri river at kairakau","TURB","2005-01-31","2019-06-25","101","0.93","707"
"mangamahaki stream at tamumu","NH4","2011-12-16","2019-12-17","57","0.005","0.069"
"mangamahaki stream at tamumu","BDISC","2011-12-16","2019-07-16","20","0.03","3.4"
"mangamahaki stream at tamumu","DRP","2011-12-16","2019-12-17","56","0.001","0.108"
"mangamahaki stream at tamumu","ECOLI","2011-12-22","2019-10-22","34","2","4000"
"mangamahaki stream at tamumu","TON","2011-12-16","2019-12-17","57","0.001","0.58"
"mangamahaki stream at tamumu","PH","2011-12-16","2018-06-18","36","7.41","8.87"
"mangamahaki stream at tamumu","TN","2011-12-16","2019-12-17","57","0.36","2.5"
"mangamahaki stream at tamumu","TP","2011-12-16","2019-12-17","114","0.015","0.68"
"mangamahaki stream at tamumu","TURBFNU","2018-11-22","2019-12-17","14","0.75","13"
"mangamahaki stream at tamumu","TURB","2011-12-16","2019-06-18","46","1","886"
"mangaone river at rissington","NH4","2005-02-03","2019-12-19","119","0.005","0.075"
"mangaone river at rissington","BDISC","2005-02-03","2019-12-19","113","0","4.38"
"mangaone river at rissington","DRP","2005-02-03","2019-12-19","118","0.001","0.109"
"mangaone river at rissington","ECOLI","2005-02-03","2019-12-19","110","1","12000"
"mangaone river at rissington","TON","2005-02-03","2019-12-19","119","0.001","7.2"
"mangaone river at rissington","PH","2005-05-27","2018-11-27","86","6.81","8.97"
"mangaone river at rissington","TN","2005-02-03","2019-12-19","119","0.11","13.1"
"mangaone river at rissington","TP","2005-02-03","2019-12-19","236","0.01","3.2"
"mangaone river at rissington","TURBFNU","2018-11-27","2019-12-19","12","0.69","220"
"mangaone river at rissington","TURB","2005-02-03","2019-06-19","115","0.5","3200"
"mangaonuku stream at waipawa tikokino rd","NH4","2007-01-26","2019-12-17","159","0.005","0.093"
"mangaonuku stream at waipawa tikokino rd","BDISC","2007-01-26","2019-12-17","149","0.015","10"
"mangaonuku stream at waipawa tikokino rd","DRP","2007-01-26","2019-12-17","156","0.001","0.051"
"mangaonuku stream at waipawa tikokino rd","ECOLI","2007-01-26","2019-11-21","145","1","9000"
"mangaonuku stream at waipawa tikokino rd","TON","2007-01-26","2019-12-17","158","0.79","5.4"
"mangaonuku stream at waipawa tikokino rd","PH","2007-07-26","2018-06-18","111","6.56","9.49"
"mangaonuku stream at waipawa tikokino rd","TN","2007-01-26","2019-12-17","152","0.9","5.602"
"mangaonuku stream at waipawa tikokino rd","TP","2007-01-26","2019-12-17","318","0.004","0.66"
"mangaonuku stream at waipawa tikokino rd","TURBFNU","2018-11-23","2019-12-17","18","0.2","3.1"
"mangaonuku stream at waipawa tikokino rd","TURB","2007-01-26","2019-06-18","169","0","529"
"clive river u/s whakatu rail bridge","NH4","2005-02-11","2019-12-11","117","0.005","0.25"
"clive river u/s whakatu rail bridge","BDISC","2005-02-11","2019-07-04","65","0.06","3.07"
"clive river u/s whakatu rail bridge","DRP","2005-02-11","2019-12-11","117","0.04","0.23"
"clive river u/s whakatu rail bridge","ECOLI","2005-02-11","2019-12-11","115","1","25000"
"clive river u/s whakatu rail bridge","TON","2005-02-11","2019-12-11","118","0.001","5.7"
"clive river u/s whakatu rail bridge","PH","2005-02-11","2018-06-07","77","6.04","9.07"
"clive river u/s whakatu rail bridge","TN","2005-02-11","2019-12-11","116","0.15","7.4"
"clive river u/s whakatu rail bridge","TP","2005-02-11","2019-12-11","236","0.06","4.24"
"clive river u/s whakatu rail bridge","TURBFNU","2018-11-08","2019-12-11","14","0.71","21"
"clive river u/s whakatu rail bridge","TURB","2005-02-11","2019-06-06","108","0","393"
"mangaorapa stream at mangaorapa road","NH4","2005-01-31","2019-12-11","119","0.005","0.03"
"mangaorapa stream at mangaorapa road","BDISC","2005-01-31","2019-12-11","112","0.02","6.7"
"mangaorapa stream at mangaorapa road","DRP","2005-01-31","2019-11-28","118","0.001","0.0184"
"mangaorapa stream at mangaorapa road","ECOLI","2005-01-31","2019-11-28","115","1","15000"
"mangaorapa stream at mangaorapa road","TON","2005-01-31","2019-12-11","119","0.001","1.01"
"mangaorapa stream at mangaorapa road","PH","2005-08-03","2018-06-21","81","5.99","8.72"
"mangaorapa stream at mangaorapa road","TN","2005-01-31","2019-12-11","118","0.13","1.79"
"mangaorapa stream at mangaorapa road","TP","2005-01-31","2019-12-11","238","0.004","0.29"
"mangaorapa stream at mangaorapa road","TURBFNU","2018-11-28","2019-12-11","13","0.45","600"
"mangaorapa stream at mangaorapa road","TURB","2005-01-31","2019-06-25","105","0","530"
