"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"arawhata drain at hokio beach road","DRP","2005-01-12","2019-12-12","146","0.006","0.173"
"arawhata drain at hokio beach road","PH","2006-07-26","2019-12-12","126","4.42","8.57"
"arawhata drain at hokio beach road","TN","2006-07-26","2019-12-12","128","3.56","20.021"
"arawhata drain at hokio beach road","TP","2005-01-12","2019-12-12","134","0.015","2.91"
"arawhata drain at hokio beach road","TURB","2005-01-12","2019-12-12","146","0.55","534"
"arawhata drain at hokio beach road","NH4",NA,NA,"0","Inf","-Inf"
"arawhata drain at hokio beach road","BDISC",NA,NA,"0","Inf","-Inf"
"arawhata drain at hokio beach road","ECOLI","2005-01-12","2019-12-12","146","15","21000"
"arawhata drain at hokio beach road","TON","2005-01-12","2019-12-12","146","0.045","18.633"
"hautapu at alabasters","DRP","2006-07-04","2019-12-04","162","0.004","0.092"
"hautapu at alabasters","PH","2006-09-05","2019-12-04","157","6.18","9.3"
"hautapu at alabasters","TN","2006-07-04","2019-12-04","162","0.084","2.04"
"hautapu at alabasters","TP","2006-07-04","2019-12-04","162","0.005","0.488"
"hautapu at alabasters","TURB","2006-07-04","2019-12-04","162","0.31","196"
"hautapu at alabasters","NH4","2006-07-04","2019-12-04","162","0.001","0.075"
"hautapu at alabasters","BDISC","2006-07-04","2019-12-04","144","0.1","8"
"hautapu at alabasters","ECOLI","2006-07-04","2019-12-04","162","8","13000"
"hautapu at alabasters","TON","2006-07-04","2019-12-04","162","0.002","0.512"
"kumeti at te rehunga","DRP","2007-01-18","2019-12-09","132","0.005","0.041"
"kumeti at te rehunga","PH","2007-01-18","2019-12-09","132","4.81","8.83"
"kumeti at te rehunga","TN","2009-01-12","2019-12-09","130","0.03","8.671"
"kumeti at te rehunga","TP","2007-01-18","2019-12-09","132","0.007","2.0205"
"kumeti at te rehunga","TURB","2007-01-18","2019-12-09","132","0.27","1166"
"kumeti at te rehunga","NH4","2007-01-18","2019-12-09","132","0.001","0.159"
"kumeti at te rehunga","BDISC","2007-01-18","2019-12-09","105","0.05","6"
"kumeti at te rehunga","ECOLI","2007-01-18","2019-12-09","132","4","6131"
"kumeti at te rehunga","TON","2007-01-18","2019-12-09","132","0.01","2.22"
"tamaki at stephensons","DRP","2007-01-18","2018-08-13","121","0.005","0.037"
"tamaki at stephensons","PH","2007-01-18","2018-08-13","119","6.96","8.95"
"tamaki at stephensons","TN","2008-07-08","2018-08-13","119","0.086","4.2"
"tamaki at stephensons","TP","2007-01-18","2018-08-13","121","0.005","2.267"
"tamaki at stephensons","TURB","2007-01-18","2018-08-13","121","0.38","3838"
"tamaki at stephensons","NH4","2007-01-18","2018-08-13","121","0.005","0.067"
"tamaki at stephensons","BDISC","2007-01-18","2018-06-11","98","0.05","6.7"
"tamaki at stephensons","ECOLI","2007-01-18","2018-08-13","121","4","9340"
"tamaki at stephensons","TON","2007-01-18","2018-08-13","121","0.002","1.845"
"tamaki at tamaki reserve","DRP","2005-07-19","2019-12-09","160","0.005","0.057"
"tamaki at tamaki reserve","PH","2006-08-15","2019-12-09","146","4.7","10.04"
"tamaki at tamaki reserve","TN","2006-07-18","2019-12-09","148","0.043","1.68"
"tamaki at tamaki reserve","TP","2006-07-18","2019-12-09","148","0.005","0.755"
"tamaki at tamaki reserve","TURB","2005-07-19","2019-12-09","160","0.21","434"
"tamaki at tamaki reserve","NH4","2005-07-19","2019-12-09","160","0.001","0.126"
"tamaki at tamaki reserve","BDISC","2005-07-19","2019-08-12","136","0.05","6.72"
"tamaki at tamaki reserve","ECOLI","2005-07-19","2019-12-09","160","1","920"
"tamaki at tamaki reserve","TON","2005-07-19","2019-12-09","160","0.002","0.999"
"tiraumea at ngaturi","DRP","2008-07-02","2019-12-10","136","0.005","0.049"
"tiraumea at ngaturi","PH","2008-07-02","2019-12-10","132","6.32","8.6"
"tiraumea at ngaturi","TN","2008-07-02","2019-12-10","136","0.72","3.03"
"tiraumea at ngaturi","TP","2008-07-02","2019-12-10","136","0.009","0.888"
"tiraumea at ngaturi","TURB","2008-07-02","2019-11-12","137","0.68","700"
"tiraumea at ngaturi","NH4","2008-07-02","2019-12-10","136","0.001","0.072"
"tiraumea at ngaturi","BDISC","2008-07-02","2019-12-10","121","0.05","3"
"tiraumea at ngaturi","ECOLI","2008-07-02","2019-11-12","135","30","17000"
"tiraumea at ngaturi","TON","2008-07-02","2019-11-12","135","0.02","1.002"
"tiraumea u/s manawatu confluence","DRP","2009-10-13","2019-12-10","119","0.002","0.031"
"tiraumea u/s manawatu confluence","PH","2009-10-13","2019-12-10","117","6.42","9.47"
"tiraumea u/s manawatu confluence","TN","2009-10-13","2019-12-10","119","0.46","2.4"
"tiraumea u/s manawatu confluence","TP","2009-10-13","2019-12-10","119","0.009","0.65"
"tiraumea u/s manawatu confluence","TURB","2009-10-13","2019-12-10","119","0.48","658"
"tiraumea u/s manawatu confluence","NH4","2009-10-13","2019-12-10","119","0.002","0.135"
"tiraumea u/s manawatu confluence","BDISC","2009-10-13","2019-06-11","88","0.015","5.2"
"tiraumea u/s manawatu confluence","ECOLI","2009-10-13","2019-12-10","119","4","10462"
"tiraumea u/s manawatu confluence","TON","2009-10-13","2019-12-10","119","0.171","1.26"
"tokiahuru at junction","DRP","2006-07-05","2019-12-16","159","0.007","0.209"
"tokiahuru at junction","PH","2006-08-10","2019-12-16","155","4.38","8.6"
"tokiahuru at junction","TN","2006-07-05","2019-12-16","159","0.01","1.22"
"tokiahuru at junction","TP","2006-07-05","2019-12-16","159","0.027","0.475"
"tokiahuru at junction","TURB","2006-07-05","2019-12-16","159","0.6","109"
"tokiahuru at junction","NH4","2006-07-05","2019-12-16","159","0.001","0.1"
"tokiahuru at junction","BDISC","2006-07-05","2019-12-16","123","0.04","4.2"
"tokiahuru at junction","ECOLI","2006-07-05","2019-12-16","157","4","9080"
"tokiahuru at junction","TON","2006-07-05","2019-12-16","159","0.002","0.536"
"tokomaru river at horseshoe bend","DRP","2005-07-26","2019-12-12","167","0.002","0.038"
"tokomaru river at horseshoe bend","PH","2006-08-09","2019-12-12","149","6.48","9.45"
"tokomaru river at horseshoe bend","TN","2006-07-19","2019-12-12","155","0.06","1.99"
"tokomaru river at horseshoe bend","TP","2006-07-19","2019-12-12","155","0.005","0.329"
"tokomaru river at horseshoe bend","TURB","2005-01-11","2019-12-12","175","0.461","197"
"tokomaru river at horseshoe bend","NH4","2005-07-26","2019-12-12","167","0.001","0.15"
"tokomaru river at horseshoe bend","BDISC","2005-07-26","2019-12-12","147","0.1","8"
"tokomaru river at horseshoe bend","ECOLI","2005-01-11","2019-12-12","175","4","9700"
"tokomaru river at horseshoe bend","TON","2005-07-26","2019-12-12","167","0.002","1"
"turakina at oneills bridge","DRP","2008-08-14","2019-12-17","137","0.005","0.4"
"turakina at oneills bridge","PH","2008-08-14","2019-12-17","136","7.18","8.96"
"turakina at oneills bridge","TN","2008-08-14","2019-12-17","137","0.226","11"
"turakina at oneills bridge","TP","2008-08-14","2019-12-17","137","0.027","2.1"
"turakina at oneills bridge","TURB","2008-08-14","2019-12-17","137","0.2","6276"
"turakina at oneills bridge","NH4","2008-08-14","2019-12-17","137","0.004","0.272"
"turakina at oneills bridge","BDISC","2008-08-14","2019-12-17","100","0.015","7.6"
"turakina at oneills bridge","ECOLI","2008-08-14","2019-12-17","137","12","31000"
"turakina at oneills bridge","TON","2008-08-14","2019-12-17","137","0.002","1.2239"
"turitea at no1 dairy","DRP","2013-08-14","2019-12-11","77","0.005","0.103"
"turitea at no1 dairy","PH","2013-08-14","2019-12-11","77","6.76","8.27"
"turitea at no1 dairy","TN","2013-08-14","2019-12-11","77","0.16","2.4"
"turitea at no1 dairy","TP","2013-08-14","2019-12-11","77","0.02","0.291"
"turitea at no1 dairy","TURB","2013-08-14","2019-12-11","77","0.97","66.7"
"turitea at no1 dairy","NH4","2013-08-14","2019-12-11","77","0.001","0.13"
"turitea at no1 dairy","BDISC","2013-08-14","2019-05-15","46","0.03","3.2"
"turitea at no1 dairy","ECOLI","2013-08-14","2019-12-11","76","30","9700"
"turitea at no1 dairy","TON","2013-08-14","2019-12-11","77","0.002","0.6963"
"l horowhenua inflow at culv d/s queen st","DRP","2012-11-27","2018-02-14","64","0.005","0.023"
"l horowhenua inflow at culv d/s queen st","PH","2012-11-27","2018-02-14","62","6.59","8.42"
"l horowhenua inflow at culv d/s queen st","TN","2012-11-27","2018-02-14","64","0.31","5.73"
"l horowhenua inflow at culv d/s queen st","TP","2012-11-27","2018-02-14","64","0.016","0.193"
"l horowhenua inflow at culv d/s queen st","TURB","2012-11-27","2018-02-14","64","0.53","35.9"
"l horowhenua inflow at culv d/s queen st","NH4","2012-11-27","2018-02-14","64","0.01","0.96"
"l horowhenua inflow at culv d/s queen st","BDISC","2012-11-27","2017-10-05","9","0.09","2.8"
"l horowhenua inflow at culv d/s queen st","ECOLI","2012-11-27","2018-02-14","64","16","9700"
"l horowhenua inflow at culv d/s queen st","TON","2012-11-27","2018-02-14","64","0.002","5.21"
"tutaenui stream at d/s marton stp","DRP","2008-07-23","2019-12-05","136","0.005","7.04"
"tutaenui stream at d/s marton stp","PH","2008-07-23","2019-12-05","132","6.81","8.72"
"tutaenui stream at d/s marton stp","TN","2008-07-23","2019-12-05","136","0.23","57"
"tutaenui stream at d/s marton stp","TP","2008-07-23","2019-12-05","136","0.029","8.86"
"tutaenui stream at d/s marton stp","TURB","2008-07-23","2019-12-05","136","0.43","353"
"tutaenui stream at d/s marton stp","NH4","2008-07-23","2019-12-05","136","0.005","28.212"
"tutaenui stream at d/s marton stp","BDISC","2008-07-23","2018-09-06","54","0.05","3.9"
"tutaenui stream at d/s marton stp","ECOLI","2008-07-23","2019-12-05","136","37","129965"
"tutaenui stream at d/s marton stp","TON","2008-07-23","2019-12-05","136","0.0031","16"
"tutaenui stream at u/s marton stp","DRP","2008-07-23","2019-11-07","119","0.005","4.376"
"tutaenui stream at u/s marton stp","PH","2008-07-23","2019-11-07","116","4.49","9.49"
"tutaenui stream at u/s marton stp","TN","2008-07-23","2019-11-07","119","0.181","32.279"
"tutaenui stream at u/s marton stp","TP","2008-07-23","2019-11-07","119","0.02","5.63"
"tutaenui stream at u/s marton stp","TURB","2008-07-23","2019-11-07","119","0.49","294"
"tutaenui stream at u/s marton stp","NH4","2008-07-23","2019-11-07","119","0.005","12.84"
"tutaenui stream at u/s marton stp","BDISC","2008-07-23","2018-09-06","57","0.08","4.2"
"tutaenui stream at u/s marton stp","ECOLI","2008-07-23","2019-11-07","119","1","129965"
"tutaenui stream at u/s marton stp","TON","2008-07-23","2019-11-07","119","0.002","11.6013"
"unnamed trib of waipu at ds ratana stp","DRP","2009-08-25","2019-12-17","124","0.018","4.93"
"unnamed trib of waipu at ds ratana stp","PH","2009-08-25","2019-12-17","123","6.01","9.81"
"unnamed trib of waipu at ds ratana stp","TN","2009-08-25","2019-12-17","124","2.2","24.7"
"unnamed trib of waipu at ds ratana stp","TP","2009-08-25","2019-12-17","124","0.276","5.84"
"unnamed trib of waipu at ds ratana stp","TURB","2009-08-25","2019-12-17","124","4.9","510"
"unnamed trib of waipu at ds ratana stp","NH4","2009-08-25","2019-12-17","124","0.01","21.9"
"unnamed trib of waipu at ds ratana stp","BDISC","2009-08-25","2012-06-21","5","0.2","1"
"unnamed trib of waipu at ds ratana stp","ECOLI","2009-08-25","2019-12-17","124","10","73000"
"unnamed trib of waipu at ds ratana stp","TON","2009-08-25","2019-12-17","124","0.002","5.471"
"unnamed trib of waipu at us ratana stp","DRP","2009-08-25","2019-12-17","118","0.005","0.52"
"unnamed trib of waipu at us ratana stp","PH","2009-08-25","2019-12-17","117","5.06","8.67"
"unnamed trib of waipu at us ratana stp","TN","2009-08-25","2019-12-17","118","0.33","13.8"
"unnamed trib of waipu at us ratana stp","TP","2009-08-25","2019-12-17","118","0.034","1.98"
"unnamed trib of waipu at us ratana stp","TURB","2009-08-25","2019-12-17","118","1.12","1090"
"unnamed trib of waipu at us ratana stp","NH4","2009-08-25","2019-12-17","118","0.005","6.75"
"unnamed trib of waipu at us ratana stp","BDISC","2009-08-25","2016-06-23","10","0.05","1"
"unnamed trib of waipu at us ratana stp","ECOLI","2009-08-25","2019-12-17","118","4","98000"
"unnamed trib of waipu at us ratana stp","TON","2009-08-25","2019-12-17","118","0.002","5.93"
"waikawa at huritini","DRP","2006-07-19","2019-12-03","168","0.006","0.08"
"waikawa at huritini","PH","2006-08-09","2019-12-03","158","6.37","9.68"
"waikawa at huritini","TN","2006-07-19","2019-12-03","168","0.3","2.46"
"waikawa at huritini","TP","2006-07-19","2019-12-03","168","0.016","0.235"
"waikawa at huritini","TURB","2006-07-19","2019-12-03","159","1.37","73.6"
"waikawa at huritini","NH4","2006-07-19","2019-12-03","168","0.005","0.26"
"waikawa at huritini","BDISC","2006-07-19","2019-12-03","129","0.04","6.6"
"waikawa at huritini","ECOLI","2006-07-19","2019-12-03","168","10","20000"
"waikawa at huritini","TON","2006-07-19","2019-12-03","161","0.1128","2.013"
"waikawa at north manakau road","DRP","2007-07-19","2019-12-03","154","0.005","0.08"
"waikawa at north manakau road","PH","2007-07-19","2019-12-03","148","6.3","10.93"
"waikawa at north manakau road","TN","2007-07-19","2019-12-03","154","0.04","0.431"
"waikawa at north manakau road","TP","2007-07-19","2019-12-03","154","0.007","0.069"
"waikawa at north manakau road","TURB","2007-07-19","2019-12-03","145","0.25","21.4"
"waikawa at north manakau road","NH4","2007-07-19","2019-12-03","154","0.001","0.063"
"waikawa at north manakau road","BDISC","2007-07-19","2019-12-03","133","0.25","10.1"
"waikawa at north manakau road","ECOLI","2007-07-19","2019-12-03","154","1","1200"
"waikawa at north manakau road","TON","2007-07-19","2019-12-03","147","0.002","0.74"
"waitangi at d/s waiouru stp","DRP","2007-09-06","2019-12-16","145","0.016","0.16"
"waitangi at d/s waiouru stp","PH","2007-09-06","2019-12-16","142","5.13","8.45"
"waitangi at d/s waiouru stp","TN","2007-09-06","2019-12-16","145","0.2","3.2"
"waitangi at d/s waiouru stp","TP","2007-09-06","2019-12-16","145","0.028","0.92"
"waitangi at d/s waiouru stp","TURB","2007-09-06","2019-12-16","145","0.43","110"
"waitangi at d/s waiouru stp","NH4","2007-09-06","2019-12-16","145","0.001","0.66"
"waitangi at d/s waiouru stp","BDISC","2007-09-06","2019-03-19","83","0.1","4.6"
"waitangi at d/s waiouru stp","ECOLI","2007-09-06","2019-12-16","145","1","19863"
"waitangi at d/s waiouru stp","TON","2007-09-06","2019-12-16","145","0.0525","1.001"
"waitangi at u/s waiouru stp","DRP","2005-01-17","2019-12-16","141","0.005","0.078"
"waitangi at u/s waiouru stp","PH","2007-09-06","2019-12-16","131","5.66","8.98"
"waitangi at u/s waiouru stp","TN","2007-09-06","2019-12-16","136","0.19","1.22"
