"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"cardrona at mt barker","NH4","2005-02-15","2019-04-16","148","0.005","0.076"
"cardrona at mt barker","TON","2005-02-15","2019-04-16","147","0.013","0.21"
"cardrona at mt barker","PH","2005-06-16","2019-04-16","105","7","7.9"
"cardrona at mt barker","TN","2005-02-15","2019-04-16","146","0.046","1.55"
"cardrona at mt barker","TP","2005-04-27","2019-04-16","144","0.004","0.34"
"cardrona at mt barker","TURB","2005-02-15","2019-04-16","123","0.2","110"
"cardrona at mt barker","DRP","2005-02-15","2019-04-16","143","0.001","0.01"
"cardrona at mt barker","ECOLI","2005-02-15","2019-04-16","148","1","2300"
"cardrona at mt barker","BDISC","2005-02-15","2005-02-15","1","0.75","0.75"
"catlins at houipapa","NH4","2005-01-13","2019-05-21","138","0.005","0.07"
"catlins at houipapa","TON","2005-01-13","2019-05-21","136","0.0112","2"
"catlins at houipapa","PH","2005-01-13","2019-05-21","104","6.7","8.8"
"catlins at houipapa","TN","2005-01-13","2019-05-21","136","0.2","2.4"
"catlins at houipapa","TP","2005-01-13","2019-05-21","137","0.014","0.11"
"catlins at houipapa","TURB","2005-01-13","2019-05-21","119","1.34","30"
"catlins at houipapa","DRP","2005-01-13","2019-05-21","137","0.0022","0.03"
"catlins at houipapa","ECOLI","2005-01-13","2019-05-21","138","6","11450"
"catlins at houipapa","BDISC",NA,NA,"0","Inf","-Inf"
"kauru at ewings","NH4","2006-08-22","2019-05-01","127","0.005","0.02"
"kauru at ewings","TON","2006-08-22","2019-05-01","128","0.001","0.173"
"kauru at ewings","PH","2006-08-22","2019-05-01","125","6.7","8.8"
"kauru at ewings","TN","2006-08-22","2019-05-01","128","0.01","1.36"
"kauru at ewings","TP","2006-08-22","2019-05-01","123","0.004","0.73"
"kauru at ewings","TURB","2006-08-22","2019-05-01","128","0.11","84"
"kauru at ewings","DRP","2006-08-22","2019-05-01","122","0.001","0.037"
"kauru at ewings","ECOLI","2006-08-22","2019-05-01","128","1","51700"
"kauru at ewings","BDISC",NA,NA,"0","Inf","-Inf"
"kawarau at chards road","NH4","2017-11-14","2019-04-16","18","0.005","0.009"
"kawarau at chards road","TON","2017-11-14","2019-04-16","18","0.0069","0.032"
"kawarau at chards road","PH","2017-11-14","2019-04-16","18","7.5","7.8"
"kawarau at chards road","TN","2017-11-14","2019-04-16","18","0.032","0.102"
"kawarau at chards road","TP","2017-11-14","2019-04-16","18","0.004","0.35"
"kawarau at chards road","TURB","2017-11-14","2019-04-16","18","0.4","112"
"kawarau at chards road","DRP","2017-11-14","2019-04-16","18","0.001","0.004"
"kawarau at chards road","ECOLI","2017-11-14","2019-04-16","18","1","111"
"kawarau at chards road","BDISC",NA,NA,"0","Inf","-Inf"
"kye burn at sh85 bridge","NH4","2005-01-26","2019-05-15","123","0.005","0.02"
"kye burn at sh85 bridge","TON","2005-01-26","2019-05-15","123","0.004","0.54"
"kye burn at sh85 bridge","PH","2005-04-05","2019-05-15","92","6.7","8.1"
"kye burn at sh85 bridge","TN","2005-01-26","2019-05-15","123","0.01","1.94"
"kye burn at sh85 bridge","TP","2005-01-26","2019-05-15","122","0.004","0.49"
"kye burn at sh85 bridge","TURB","2005-01-26","2019-05-15","99","0.3","270"
"kye burn at sh85 bridge","DRP","2005-01-26","2019-05-15","122","0.001","0.021"
"kye burn at sh85 bridge","ECOLI","2005-01-26","2019-05-15","123","1","1100"
"kye burn at sh85 bridge","BDISC","2005-01-26","2005-01-26","1","3.83","3.83"
"lake hayes at bendemeer bay","NH4","2005-04-26","2018-07-17","85","0.005","0.12"
"lake hayes at bendemeer bay","TON","2005-04-26","2018-07-17","85","0.001","0.256"
"lake hayes at bendemeer bay","PH","2005-06-15","2018-07-17","79","7.57","9.9"
"lake hayes at bendemeer bay","TN","2005-04-26","2018-07-17","84","0.14","0.93"
"lake hayes at bendemeer bay","TP","2005-04-26","2018-07-17","85","0.01","0.089"
"lake hayes at bendemeer bay","TURB","2005-04-26","2018-07-17","85","0.35","14.2"
"lake hayes at bendemeer bay","DRP","2005-04-26","2018-07-17","84","0.0012","0.045"
"lake hayes at bendemeer bay","ECOLI","2005-04-26","2018-07-17","86","1","1200"
"lake hayes at bendemeer bay","BDISC",NA,NA,"0","Inf","-Inf"
"leith at dundas street bridge","NH4","2005-02-01","2019-05-31","125","0.005","0.26"
"leith at dundas street bridge","TON","2005-02-01","2019-05-31","125","0.063","1.37"
"leith at dundas street bridge","PH","2005-02-01","2019-05-31","113","7.3","9.4"
"leith at dundas street bridge","TN","2005-02-01","2019-05-31","125","0.23","1.54"
"leith at dundas street bridge","TP","2005-02-01","2019-05-31","124","0.012","0.131"
"leith at dundas street bridge","TURB","2005-02-01","2019-05-31","125","0.97","17.3"
"leith at dundas street bridge","DRP","2005-02-01","2019-05-31","123","0.0029","0.066"
"leith at dundas street bridge","ECOLI","2005-02-01","2019-05-31","124","19","10000"
"leith at dundas street bridge","BDISC","2005-02-01","2005-02-01","1","1.25","1.25"
"lindis at ardgour road","NH4","2005-09-20","2019-04-16","140","0.005","0.018"
"lindis at ardgour road","TON","2005-09-20","2019-04-16","139","0.001","0.26"
"lindis at ardgour road","PH","2005-09-20","2019-04-16","121","6.6","8"
"lindis at ardgour road","TN","2005-09-20","2019-04-16","138","0.051","1.81"
"lindis at ardgour road","TP","2005-09-20","2019-04-16","136","0.004","1.18"
"lindis at ardgour road","TURB","2005-09-20","2019-04-16","137","0.12","580"
"lindis at ardgour road","DRP","2005-09-20","2019-04-16","135","0.001","0.019"
"lindis at ardgour road","ECOLI","2005-09-20","2019-04-16","140","1","3790"
"lindis at ardgour road","BDISC",NA,NA,"0","Inf","-Inf"
