"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"rw aorere @ le comte","DRP","2005-02-15","2019-12-16","115","0.001","0.021"
"rw aorere @ le comte","ECOLI","2005-02-15","2019-12-16","147","1","10000"
"rw aorere @ le comte","TON","2012-08-24","2019-07-24","86","0.024","0.47"
"rw aorere @ le comte","PH","2008-11-21","2019-12-16","44","6.8","8"
"rw aorere @ le comte","NH4","2005-02-15","2019-12-16","114","0.005","0.099"
"rw aorere @ le comte","TN","2005-02-15","2019-12-16","116","0.08","0.75"
"rw aorere @ le comte","TP","2005-02-15","2019-12-16","115","0.002","0.088"
"rw aorere @ le comte","TURB","2005-02-15","2019-12-16","85","0.2","23"
"rw aorere @ le comte","BDISC","2005-02-15","2019-12-16","99","0.386667","13.43"
"rw borck @ 400m ds queen st","DRP","2009-01-21","2019-12-04","72","0.001","0.039"
"rw borck @ 400m ds queen st","ECOLI","2009-01-21","2019-12-04","73","25","4900"
"rw borck @ 400m ds queen st","TON","2012-08-31","2019-07-04","53","1.13","10.4"
"rw borck @ 400m ds queen st","PH","2013-04-08","2019-12-04","44","7.1","8.7"
"rw borck @ 400m ds queen st","NH4","2009-01-21","2019-12-04","72","0.005","0.04"
"rw borck @ 400m ds queen st","TN","2009-01-21","2019-12-04","72","1.5","12.6"
"rw borck @ 400m ds queen st","TP","2009-01-21","2019-12-04","72","0.005","0.093"
"rw borck @ 400m ds queen st","TURB","2009-01-21","2019-12-04","75","0.5","41"
"rw borck @ 400m ds queen st","BDISC","2009-01-21","2019-12-04","70","0.14","6.25"
"rw moutere @ riverside","DRP","2016-07-19","2019-12-10","44","0.001","0.031"
"rw moutere @ riverside","ECOLI","2012-08-15","2019-12-10","58","40","8000"
"rw moutere @ riverside","TON","2016-07-19","2019-07-11","38","0.0012","1.55"
"rw moutere @ riverside","PH","2016-07-19","2019-12-10","43","7","8.6"
"rw moutere @ riverside","NH4","2016-07-19","2019-12-10","43","0.005","0.053"
"rw moutere @ riverside","TN","2016-07-19","2019-12-10","43","0.21","2"
"rw moutere @ riverside","TP","2016-07-19","2019-12-10","43","0.006","0.189"
"rw moutere @ riverside","TURB","2012-08-15","2019-12-10","60","0.38","163"
"rw moutere @ riverside","BDISC","2012-10-24","2019-11-12","53","0.06","7.73333"
"rw murchison ck @ 20m u-s sh6","DRP","2016-07-20","2019-12-11","42","0.001","0.118"
"rw murchison ck @ 20m u-s sh6","ECOLI","2005-02-10","2019-12-11","91","3","10000"
"rw murchison ck @ 20m u-s sh6","TON","2016-07-20","2019-07-10","37","0.072","7.6"
"rw murchison ck @ 20m u-s sh6","PH","2008-10-30","2019-12-11","43","7.2","7.9"
"rw murchison ck @ 20m u-s sh6","NH4","2005-02-10","2019-12-11","84","0.005","0.24"
"rw murchison ck @ 20m u-s sh6","TN","2016-07-20","2019-12-11","42","0.166","7.7"
"rw murchison ck @ 20m u-s sh6","TP","2016-07-20","2019-12-11","42","0.008","0.57"
"rw murchison ck @ 20m u-s sh6","TURB","2007-02-20","2019-12-11","45","1.1","126"
"rw murchison ck @ 20m u-s sh6","BDISC","2005-02-10","2019-11-13","82","0","3.56667"
"rw neimann ck @ 600m us lansdowne rd","DRP","2013-07-08","2019-12-04","54","0.001","0.043"
"rw neimann ck @ 600m us lansdowne rd","ECOLI","2013-07-08","2019-12-04","54","39","7500"
"rw neimann ck @ 600m us lansdowne rd","TON","2013-07-08","2019-07-04","49","0.71","5.8"
"rw neimann ck @ 600m us lansdowne rd","PH","2015-10-22","2019-12-04","43","6.9","7.9"
"rw neimann ck @ 600m us lansdowne rd","NH4","2013-07-08","2019-12-04","54","0.005","0.029"
"rw neimann ck @ 600m us lansdowne rd","TN","2013-07-08","2019-12-04","54","0.9","5.8"
"rw neimann ck @ 600m us lansdowne rd","TP","2013-07-08","2019-12-04","54","0.004","0.064"
"rw neimann ck @ 600m us lansdowne rd","TURB","2013-07-08","2019-12-04","54","0.07","3.1"
"rw neimann ck @ 600m us lansdowne rd","BDISC","2013-07-08","2019-12-04","53","0.5","18.2"
"rw onekaka @ shambala br","DRP","2005-02-15","2019-12-16","56","0.001","0.062"
"rw onekaka @ shambala br","ECOLI","2005-02-15","2019-12-16","83","5","11000"
"rw onekaka @ shambala br","TON","2012-08-23","2019-07-24","50","0.001","0.45"
"rw onekaka @ shambala br","PH","2008-11-20","2019-12-16","42","7.2","8.2"
"rw onekaka @ shambala br","NH4","2005-02-15","2019-12-16","83","0.005","0.158"
"rw onekaka @ shambala br","TN","2005-02-15","2019-12-16","56","0.052","1.03"
"rw onekaka @ shambala br","TP","2005-02-15","2019-12-16","56","0.004","0.21"
"rw onekaka @ shambala br","TURB","2005-02-15","2019-12-16","87","0.1","46"
"rw onekaka @ shambala br","BDISC","2005-02-15","2019-12-16","79","0.17","11.05"
"rw powell @ 40m u-s motupipi rv","DRP","2005-04-18","2019-12-17","93","0.0016","0.197"
"rw powell @ 40m u-s motupipi rv","ECOLI","2005-02-14","2019-12-17","94","5","20000"
"rw powell @ 40m u-s motupipi rv","TON","2012-08-23","2019-07-23","51","0.179","3.5"
"rw powell @ 40m u-s motupipi rv","PH","2005-02-14","2019-12-17","44","6.38","7.9"
"rw powell @ 40m u-s motupipi rv","NH4","2005-02-14","2019-12-17","94","0.005","0.42"
"rw powell @ 40m u-s motupipi rv","TN","2005-04-18","2019-12-17","92","0.37","5.4"
"rw powell @ 40m u-s motupipi rv","TP","2005-04-18","2019-12-17","92","0.006","0.24"
"rw powell @ 40m u-s motupipi rv","TURB","2005-10-26","2019-12-17","87","0.87","19.9"
"rw powell @ 40m u-s motupipi rv","BDISC","2005-02-14","2019-11-26","86","0.35","7.12"
"rw reservoir ck @ 20m d-s salisbury rd","DRP","2016-07-13","2019-12-04","42","0.0026","0.037"
"rw reservoir ck @ 20m d-s salisbury rd","ECOLI","2005-02-08","2019-12-04","88","0","3000"
"rw reservoir ck @ 20m d-s salisbury rd","TON","2016-07-13","2019-07-04","37","0.36","4.2"
"rw reservoir ck @ 20m d-s salisbury rd","PH","2008-07-29","2019-12-04","44","6.5","7.9"
"rw reservoir ck @ 20m d-s salisbury rd","NH4","2005-02-08","2019-12-04","88","0.005","0.122"
"rw reservoir ck @ 20m d-s salisbury rd","TN","2016-07-13","2019-12-04","42","0.61","3.9"
"rw reservoir ck @ 20m d-s salisbury rd","TP","2016-07-13","2019-12-04","42","0.011","0.113"
"rw reservoir ck @ 20m d-s salisbury rd","TURB","2005-04-14","2019-12-04","89","0.2","480"
"rw reservoir ck @ 20m d-s salisbury rd","BDISC","2005-02-08","2019-12-04","85","0.075","4.9"
"rw riwaka @ hickmotts","DRP","2005-02-09","2019-12-10","44","0.001","0.0163"
"rw riwaka @ hickmotts","ECOLI","2005-02-09","2019-12-10","84","5","4000"
"rw riwaka @ hickmotts","TON","2016-07-19","2019-07-11","37","0.006","0.45"
"rw riwaka @ hickmotts","PH","2008-08-21","2019-12-10","44","7.2","8.4"
"rw riwaka @ hickmotts","NH4","2005-02-09","2019-12-10","84","0.005","0.043"
"rw riwaka @ hickmotts","TN","2005-02-09","2019-12-10","43","0.056","0.53"
"rw riwaka @ hickmotts","TP","2005-02-09","2019-12-10","43","0.004","0.161"
"rw riwaka @ hickmotts","TURB","2005-02-09","2019-12-10","87","0.16","44"
"rw riwaka @ hickmotts","BDISC","2005-02-09","2019-11-12","81","0.14","7.33333"
"rw sherry @ blue rock","DRP","2005-02-11","2019-12-10","82","0.001","0.049"
"rw sherry @ blue rock","ECOLI","2005-02-09","2019-12-10","208","5","4838.4"
"rw sherry @ blue rock","TON","2007-11-06","2019-07-11","68","0.028","0.901"
"rw sherry @ blue rock","PH","2008-08-22","2019-12-10","44","7.1","8.1"
"rw sherry @ blue rock","NH4","2005-02-11","2019-12-10","109","0.003","0.017"
"rw sherry @ blue rock","TN","2005-02-11","2019-12-10","82","0.22","1.06"
"rw sherry @ blue rock","TP","2005-02-11","2019-12-10","82","0.004","0.124"
"rw sherry @ blue rock","TURB","2005-02-11","2019-12-10","90","0.4","24"
"rw sherry @ blue rock","BDISC","2005-02-11","2019-12-10","105","0.216667","4.96667"
"rw takaka @ kotinga","DRP","2005-02-14","2019-12-17","112","0.001","0.008"
"rw takaka @ kotinga","ECOLI","2005-02-14","2019-12-17","114","1","600"
"rw takaka @ kotinga","TON","2012-08-23","2019-07-23","83","0.009","0.57"
"rw takaka @ kotinga","PH","2008-11-20","2019-12-17","43","6.4","8.1"
"rw takaka @ kotinga","NH4","2005-02-14","2019-12-17","112","0.005","0.035"
"rw takaka @ kotinga","TN","2005-02-14","2019-12-17","111","0.07","0.63"
"rw takaka @ kotinga","TP","2005-02-14","2019-12-17","112","0.002","0.063"
"rw takaka @ kotinga","TURB","2005-02-14","2019-12-17","84","0.1","50"
"rw takaka @ kotinga","BDISC","2005-02-14","2019-11-26","96","0.23","14.9033"
"rw takaka @ lindsays br","DRP","2016-07-26","2019-12-17","54","0.001","0.0042"
"rw takaka @ lindsays br","ECOLI","2016-07-26","2019-12-17","41","2","1000"
"rw takaka @ lindsays br","TON","2016-07-26","2019-07-23","47","0.0034","0.3"
"rw takaka @ lindsays br","PH","2016-07-26","2019-12-17","42","7.2","8.2"
"rw takaka @ lindsays br","NH4","2016-07-26","2019-12-17","54","0.005","0.01"
"rw takaka @ lindsays br","TN","2016-07-26","2019-12-17","53","0.06","0.33"
"rw takaka @ lindsays br","TP","2016-07-26","2019-12-17","53","0.004","0.023"
"rw takaka @ lindsays br","TURB","2016-07-26","2019-12-17","41","0.2","15.1"
"rw takaka @ lindsays br","BDISC","2016-07-26","2019-11-26","39","0.65","12.31"
"rw hunters @ kikiwa","DRP","2005-02-10","2019-12-10","42","0.004","0.035"
"rw hunters @ kikiwa","ECOLI","2005-02-10","2019-12-10","83","1","4900"
"rw hunters @ kikiwa","TON","2016-07-19","2019-07-11","36","0.0043","0.181"
"rw hunters @ kikiwa","PH","2008-08-22","2019-12-10","43","6.6","7.6"
"rw hunters @ kikiwa","NH4","2005-02-10","2019-12-10","42","0.005","0.009"
"rw hunters @ kikiwa","TN","2005-02-10","2019-12-10","42","0.056","0.27"
"rw hunters @ kikiwa","TP","2005-02-10","2019-12-10","42","0.008","0.04"
"rw hunters @ kikiwa","TURB","2005-02-10","2019-12-10","76","0.5","8"
"rw hunters @ kikiwa","BDISC","2005-02-10","2019-12-10","78","1.13","8"
"rw tasman @ u-s jesters hse","DRP","2016-07-19","2019-12-10","43","0.013","0.082"
"rw tasman @ u-s jesters hse","ECOLI","2006-02-24","2019-12-10","89","5","8000"
"rw tasman @ u-s jesters hse","TON","2016-07-19","2019-07-11","37","0.001","0.53"
"rw tasman @ u-s jesters hse","PH","2008-08-29","2019-12-10","44","7.1","7.7"
"rw tasman @ u-s jesters hse","NH4","2006-02-24","2019-12-10","83","0.005","0.068"
"rw tasman @ u-s jesters hse","TN","2016-07-19","2019-12-10","42","0.34","1.35"
"rw tasman @ u-s jesters hse","TP","2016-07-19","2019-12-10","42","0.046","0.2"
"rw tasman @ u-s jesters hse","TURB","2013-02-12","2019-12-10","44","1.6","97"
"rw tasman @ u-s jesters hse","BDISC","2006-02-24","2019-11-12","81","0.11","3.48"
"rw wai-iti @ 400m d-s waimea w rd","DRP","2016-07-13","2019-12-04","42","0.001","0.0111"
"rw wai-iti @ 400m d-s waimea w rd","ECOLI","2016-07-13","2019-12-04","42","7","1700"
"rw wai-iti @ 400m d-s waimea w rd","TON","2016-07-13","2019-07-04","37","0.5","2.3"
"rw wai-iti @ 400m d-s waimea w rd","PH","2016-07-13","2019-12-04","42","7.3","8"
"rw wai-iti @ 400m d-s waimea w rd","NH4","2016-07-13","2019-12-04","42","0.005","0.012"
"rw wai-iti @ 400m d-s waimea w rd","TN","2016-07-13","2019-12-04","42","0.61","3.9"
"rw wai-iti @ 400m d-s waimea w rd","TP","2016-07-13","2019-12-04","42","0.004","0.065"
"rw wai-iti @ 400m d-s waimea w rd","TURB","2016-07-13","2019-12-04","42","0.22","81"
"rw wai-iti @ 400m d-s waimea w rd","BDISC","2016-07-13","2019-12-04","42","0.12","12.15"
"rw waimea @ sh60 appleby","DRP","2005-04-14","2019-12-04","119","0.001","0.014"
"rw waimea @ sh60 appleby","ECOLI","2005-02-08","2019-12-04","120","1","700"
"rw waimea @ sh60 appleby","TON","2012-08-07","2019-07-04","86","0.034","0.77"
"rw waimea @ sh60 appleby","PH","2008-07-29","2019-12-04","47","6.7","8.3"
"rw waimea @ sh60 appleby","NH4","2005-02-08","2019-12-04","123","0.005","0.026"
"rw waimea @ sh60 appleby","TN","2005-04-14","2019-12-04","119","0.108","1.3"
"rw waimea @ sh60 appleby","TP","2005-04-14","2019-12-04","119","0.002","0.076"
"rw waimea @ sh60 appleby","TURB","2005-04-14","2019-12-04","87","0.22","49"
"rw waimea @ sh60 appleby","BDISC","2005-02-08","2019-12-04","117","0.095","14.08"
"rw wairoa @ sh6","DRP","2013-03-05","2019-12-04","43","0.001","0.0081"
