"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"1043837","NH4","2012-01-06","2019-12-02","93","0.005","0.33"
"1043837","ECOLI","2012-01-06","2019-12-02","95","54","65000"
"1043837","PH","2012-01-06","2019-12-02","94","5.9","7.53"
"1043837","DRP","2012-01-06","2019-12-02","95","0.008","0.092"
"1043837","TN","2012-01-06","2019-12-02","95","0.21","3.8"
"1043837","TON","2012-01-06","2019-12-02","93","0.0028","3.3"
"1043837","TP","2012-01-06","2019-12-02","95","0.028","0.29"
"1043837","TURB","2012-01-06","2019-12-02","95","1.8","85"
"1043837","BDISC",NA,NA,"0","Inf","-Inf"
"43601","NH4","2009-01-07","2019-12-02","130","0.005","0.137"
"43601","ECOLI","2009-01-07","2019-12-02","132","27","11500"
"43601","PH","2009-01-07","2019-12-02","128","5.99","8.16"
"43601","DRP","2009-01-07","2019-12-02","130","0.003","0.023"
"43601","TN","2009-01-07","2019-12-02","132","0.25","4.4"
"43601","TON","2009-01-07","2019-12-02","130","0.024","4.5"
"43601","TP","2009-01-07","2019-12-02","130","0.005","0.31"
"43601","TURB","2009-01-07","2019-12-02","132","0.398","113"
"43601","BDISC","2009-01-07","2009-11-04","5","0.3","1.2"
"6604","NH4","1995-01-10","2019-12-03","295","0.005","0.11"
"6604","ECOLI","2006-07-04","2019-12-03","162","18","14000"
"6604","PH","2009-01-06","2019-12-03","125","5.97","8.24"
"6604","DRP","1995-01-10","2019-12-03","297","0.003","0.05"
"6604","TN","2009-01-06","2019-12-03","132","0.06","1.1"
"6604","TON","1995-01-10","2019-12-03","298","0.001","0.505"
"6604","TP","1995-01-10","2019-12-03","297","0.01","0.26"
"6604","TURB","1995-01-10","2019-12-03","299","0.74","150"
"6604","BDISC","1995-01-10","2009-11-30","108","0.1","2.4"
"6804","NH4","1995-01-19","2019-12-03","287","0.005","0.104"
"6804","ECOLI","2005-07-26","2019-12-03","173","2","24000"
"6804","PH","2009-01-06","2019-12-03","125","6.42","8.45"
"6804","DRP","1995-01-19","2019-12-03","291","0.004","0.07"
"6804","TN","2009-01-06","2019-12-03","132","0.14","2.1"
"6804","TON","1995-01-19","2019-12-03","292","0.0014","0.693"
"6804","TP","1995-01-19","2019-12-03","292","0.01","0.46"
"6804","TURB","1995-01-19","2019-12-03","292","0.78","240"
"6804","BDISC","1995-01-19","2009-11-30","156","0.05","4"
"6811","NH4","1995-01-10","2019-12-03","295","0.005","0.127"
"6811","ECOLI","2006-07-04","2019-12-03","162","9","12900"
"6811","PH","2009-01-06","2019-12-03","123","6.02","8.48"
"6811","DRP","1995-01-10","2019-12-03","298","0.001","0.06"
"6811","TN","2009-01-06","2019-12-03","132","0.09","1.34"
"6811","TON","1995-01-10","2019-12-03","298","0.003","1.332"
"6811","TP","1995-01-10","2019-12-03","297","0.005","0.26"
"6811","TURB","1995-01-10","2019-12-03","299","2","228"
"6811","BDISC","1995-01-10","2009-11-30","108","0.09","1.41"
"7104","NH4","1995-01-10","2019-12-04","294","0.005","0.26"
"7104","ECOLI","2006-07-04","2019-12-04","161","27","12000"
"7104","PH","2009-01-06","2019-12-04","126","6.02","8.25"
"7104","DRP","1995-01-10","2019-12-04","295","0.003","0.06"
"7104","TN","2009-01-06","2019-12-04","131","0.18","1.4"
"7104","TON","1995-01-10","2019-12-04","296","0.001","1.133"
"7104","TP","1995-01-10","2019-12-04","296","0.01","0.34"
"7104","TURB","1995-01-10","2019-12-04","298","1.1","300"
"7104","BDISC","1995-01-10","2009-11-30","108","0.05","1.3"
"7171","NH4","2012-01-06","2019-08-09","91","0.005","0.044"
"7171","ECOLI","2012-01-06","2019-08-09","92","1.6","2700"
"7171","PH","2012-01-06","2019-08-09","89","5.71","7.83"
"7171","DRP","2012-01-06","2019-08-09","92","0.001","0.02"
"7171","TN","2012-01-06","2019-08-09","92","0.02","0.73"
"7171","TON","2012-01-06","2019-08-09","91","0.001","0.034"
"7171","TP","2012-01-06","2019-08-09","92","0.005","0.3"
"7171","TURB","2012-01-06","2019-08-09","91","4","30"
"7171","BDISC",NA,NA,"0","Inf","-Inf"
"7206","NH4","2002-01-16","2019-12-03","202","0.003","0.154"
"7206","ECOLI","2006-07-06","2019-12-03","161","1.6","5400"
"7206","PH","2009-02-04","2019-12-03","124","4.41","8.29"
"7206","DRP","2002-01-16","2019-12-03","205","0.002","0.03"
"7206","TN","2009-01-07","2019-12-03","131","0.01","1.4"
"7206","TON","2002-01-16","2019-12-03","204","0.001","0.175"
"7206","TP","2002-01-16","2019-12-03","205","0.005","0.091"
"7206","TURB","2002-01-16","2019-12-03","205","1.5","54"
"7206","BDISC","2012-02-02","2012-02-02","1","0.2","0.2"
"74401","NH4","2013-02-07","2019-12-20","81","0.005","0.051"
"74401","ECOLI","2013-02-07","2019-12-20","81","1.6","1900"
"74401","PH","2013-03-07","2019-12-20","79","6.43","8.21"
"74401","DRP","2013-02-07","2019-12-20","80","0.006","0.059"
"74401","TN","2013-02-07","2019-12-20","81","0.14","0.8"
"74401","TON","2013-02-07","2019-12-20","81","0.0039","0.31"
"74401","TP","2013-02-07","2019-12-20","80","0.017","0.12"
"74401","TURB","2013-02-07","2019-12-20","81","4","56"
"74401","BDISC",NA,NA,"0","Inf","-Inf"
"74701","NH4","2013-02-07","2019-12-20","81","0.005","0.044"
"74701","ECOLI","2013-02-07","2019-12-20","81","1.6","4700"
"74701","PH","2013-03-07","2019-12-20","78","6.34","8.18"
"74701","DRP","2013-02-07","2019-12-20","81","0.004","0.026"
"74701","TN","2013-02-07","2019-12-20","81","0.11","0.94"
"74701","TON","2013-02-07","2019-12-20","81","0.0042","0.37"
"74701","TP","2013-02-07","2019-12-20","81","0.005","0.081"
"74701","TURB","2013-02-07","2019-12-20","81","3.9","94"
"74701","BDISC",NA,NA,"0","Inf","-Inf"
"7502","NH4","2003-09-05","2019-12-03","193","0.005","2.75"
"7502","ECOLI","2006-07-06","2019-12-03","162","10","15600"
"7502","PH","2009-02-04","2019-12-03","126","5.83","8.58"
"7502","DRP","2003-09-05","2019-12-03","194","0.002","1.251"
"7502","TN","2009-01-07","2019-12-03","132","0.3","19"
"7502","TON","2003-09-05","2019-12-03","195","0.002","12.6"
"7502","TP","2003-09-05","2019-12-03","194","0.011","1.289"
"7502","TURB","2003-09-05","2019-12-03","196","2.8","100"
"7502","BDISC","2012-02-02","2012-02-02","1","0.49","0.49"
"7506","NH4","2001-07-04","2019-12-03","209","0.005","0.18"
"7506","ECOLI","2006-07-06","2019-12-03","158","13","21000"
"7506","PH","2009-02-04","2019-12-03","120","5.74","7.91"
"7506","DRP","2001-07-04","2019-12-03","211","0.003","0.05"
"7506","TN","2009-01-07","2019-12-03","128","0.15","2"
"7506","TON","2001-07-04","2019-12-03","211","0.001","0.51"
"7506","TP","2001-07-04","2019-12-03","212","0.013","0.27"
"7506","TURB","2001-07-04","2019-12-03","212","2.3","123"
"7506","BDISC","2001-10-02","2012-02-02","3","0.2","0.6"
"43807","NH4","1995-01-11","2019-12-02","294","0.005","0.71"
"43807","ECOLI","2006-07-05","2019-12-02","160","9","54000"
"43807","PH","2009-01-07","2019-12-02","126","6.59","9.33"
"43807","DRP","1995-01-11","2019-12-02","296","0.004","0.398"
"43807","TN","2009-01-07","2019-12-02","131","0.22","2.4"
"43807","TON","1995-01-11","2019-12-02","295","0.002","6.53"
"43807","TP","1995-01-11","2019-12-02","295","0.021","0.464"
"43807","TURB","1995-01-11","2019-12-02","298","1.4","122"
"43807","BDISC","1995-01-11","2009-11-04","109","0.1","1.42"
"7805","NH4","1995-01-10","2019-12-04","206","0.005","0.19"
"7805","ECOLI","2006-07-04","2019-12-04","72","30","9000"
"7805","PH","2016-07-06","2019-12-04","42","6.51","7.73"
"7805","DRP","1995-01-10","2019-12-04","206","0.004","0.06"
"7805","TN","2016-07-06","2019-12-04","42","0.31","1.4"
"7805","TON","1995-01-10","2019-12-04","209","0.001","0.801"
"7805","TP","1995-01-10","2019-12-04","207","0.017","0.23"
"7805","TURB","1995-01-10","2019-12-04","209","1.2","83.3"
"7805","BDISC","1995-01-10","2008-12-03","103","0.08","0.7"
"7811","NH4","1995-01-10","2019-12-03","296","0.005","2.1"
"7811","ECOLI","2006-07-04","2019-12-03","162","9","9300"
"7811","PH","2009-02-04","2019-12-03","126","5.33","7.84"
"7811","DRP","1995-01-10","2019-12-03","296","0.003","0.14"
"7811","TN","2009-01-07","2019-12-03","132","0.29","2.9"
"7811","TON","1995-01-10","2019-12-03","297","0.057","2.42"
"7811","TP","1995-01-10","2019-12-03","297","0.022","0.47"
"7811","TURB","1995-01-10","2019-12-03","298","1.5","260"
"7811","BDISC","1995-01-10","2012-02-02","103","0.08","1.8"
"7830","NH4","1995-01-10","2019-12-03","296","0.005","0.25"
"7830","ECOLI","2006-07-04","2019-12-03","162","9","13000"
"7830","PH","2009-02-04","2019-12-03","124","5.56","7.95"
"7830","DRP","1995-01-10","2019-12-03","296","0.002","0.1"
"7830","TN","2009-01-07","2019-12-03","132","0.16","5.4"
"7830","TON","1995-01-10","2019-12-03","298","0.002","4.7"
"7830","TP","1995-01-10","2019-12-03","297","0.011","0.37"
"7830","TURB","1995-01-10","2019-12-03","299","2.3","686"
"7830","BDISC","1995-01-10","2012-02-02","102","0.05","0.68"
"7904","NH4","1995-01-10","2019-12-04","297","0.005","0.22"
"7904","ECOLI","2006-07-05","2019-12-04","162","50","8700"
"7904","PH","2009-01-07","2019-12-04","124","5.24","7.89"
"7904","DRP","1995-01-10","2019-12-04","295","0.004","0.099"
"7904","TN","2009-01-07","2019-12-04","132","0.092","1.3"
"7904","TON","1995-01-10","2019-12-04","298","0.002","2.21"
"7904","TP","1995-01-10","2019-12-04","294","0.008","0.34"
"7904","TURB","1995-01-10","2019-12-04","300","0.9","47.1"
"7904","BDISC","1995-01-10","2009-11-30","108","0.11","2.3"
"8019","NH4","2012-01-06","2019-12-23","93","0.005","0.61"
"8019","ECOLI","2012-01-06","2019-12-23","94","10","41000"
"8019","PH","2012-01-06","2019-12-23","93","6.03","7.59"
"8019","DRP","2012-01-06","2019-12-23","95","0.003","0.052"
"8019","TN","2012-01-06","2019-12-23","95","0.33","1.5"
"8019","TON","2012-01-06","2019-12-23","93","0.12","0.79"
"8019","TP","2012-01-06","2019-12-23","95","0.015","0.34"
"8019","TURB","2012-01-06","2019-12-23","95","5.3","45"
"8019","BDISC",NA,NA,"0","Inf","-Inf"
"8110","NH4","1995-01-10","2019-12-23","290","0.005","0.3"
"8110","ECOLI","2006-07-05","2019-12-23","156","55","29000"
"8110","PH","2009-01-07","2019-12-23","121","6.19","8.11"
"8110","DRP","1995-01-10","2019-12-23","292","0.005","0.1"
"8110","TN","2009-01-07","2019-12-23","127","0.56","3.2"
"8110","TON","1995-01-10","2019-12-23","291","0.044","3.84"
"8110","TP","1995-01-10","2019-12-23","290","0.022","0.277"
"8110","TURB","1995-01-10","2019-12-23","294","0.6","52.4"
"8110","BDISC","1995-01-10","2009-11-04","109","0.07","2.2"
"8205","NH4","1995-01-11","2019-12-23","296","0.005","0.71"
"8205","ECOLI","2006-07-05","2019-12-23","161","14","45000"
"8205","PH","2009-01-27","2019-12-23","126","5.37","8.73"
"8205","DRP","1995-01-11","2019-12-23","297","0.005","0.12"
"8205","TN","2009-01-27","2019-12-23","131","0.19","3.6"
"8205","TON","1995-01-11","2019-12-23","297","0.002","2.89"
"8205","TP","1995-01-11","2019-12-23","295","0.02","0.7"
"8205","TURB","1995-01-11","2019-12-23","299","1.1","143"
"8205","BDISC","1995-01-11","2009-11-17","110","0.09","1.8"
"8214","NH4","1995-01-09","2019-12-23","297","0.005","6.7"
"8214","ECOLI","2000-06-15","2019-12-23","233","110","510000"
"8214","PH","2009-01-27","2019-12-23","125","4.44","9.17"
"8214","DRP","1995-01-09","2019-12-23","300","0.003","0.43"
"8214","TN","2009-01-27","2019-12-23","130","0.27","5.8"
"8214","TON","1995-01-09","2019-12-23","300","0.002","4.08"
"8214","TP","1995-01-09","2019-12-23","299","0.013","1.1"
"8214","TURB","1995-01-09","2019-12-23","301","1.42","227"
"8214","BDISC","2001-06-22","2009-10-19","50","0.13","2.01"
"8215","NH4","1995-01-09","2019-12-23","297","0.009","2.9"
"8215","ECOLI","2000-06-15","2019-12-23","233","2","9e+05"
"8215","PH","2009-01-27","2019-12-23","126","6.27","8.8"
"8215","DRP","1995-01-09","2019-12-23","299","0.004","0.823"
"8215","TN","2009-01-27","2019-12-23","130","0.4","2.8"
"8215","TON","1995-01-09","2019-12-23","300","0.003","4.43"
"8215","TP","1995-01-09","2019-12-23","298","0.02","2.2"
"8215","TURB","1995-01-09","2019-12-23","299","1.6","510"
"8215","BDISC","2001-06-22","2009-11-17","51","0.09","1.12"
"8217","NH4","1995-01-09","2019-12-23","297","0.005","12.4"
"8217","ECOLI","2000-06-15","2019-12-23","233","9","2600000"
"8217","PH","2009-01-27","2019-12-23","125","6.36","9.55"
"8217","DRP","1995-01-09","2019-12-23","300","0.003","0.93"
"8217","TN","2009-01-27","2019-12-23","131","0.37","18.1"
"8217","TON","1995-01-09","2019-12-23","300","0.028","4.02"
"8217","TP","1995-01-09","2019-12-23","299","0.014","1.85"
"8217","TURB","1995-01-09","2019-12-23","301","2.3","404"
"8217","BDISC","2001-06-22","2009-11-17","49","0.05","1.45"
"438100","NH4","2009-01-07","2019-12-02","130","0.005","0.168"
"438100","ECOLI","2009-01-07","2019-12-02","131","18","12000"
"438100","PH","2009-01-07","2019-12-02","128","6.41","8.68"
"438100","DRP","2009-01-07","2019-12-02","132","0.003","0.032"
"438100","TN","2009-01-07","2019-12-02","132","5.7","21"
"438100","TON","2009-01-07","2019-12-02","130","2.35","17"
"438100","TP","2009-01-07","2019-12-02","132","0.005","0.256"
"438100","TURB","2009-01-07","2019-12-02","132","0.486","107"
"438100","BDISC","2009-01-07","2009-11-04","5","0.34","1.1"
"8219","NH4","1995-03-16","2019-12-23","220","0.01","1.8"
"8219","ECOLI","2000-06-15","2019-12-23","172","80","7e+05"
"8219","PH","2009-07-23","2019-12-23","73","6.14","8.45"
"8219","DRP","1995-03-16","2019-12-23","219","0.005","0.11"
"8219","TN","2009-05-26","2019-12-23","83","0.58","5.7"
"8219","TON","1995-03-16","2019-12-23","221","0.076","5.03"
"8219","TP","1995-03-16","2019-12-23","219","0.024","0.54"
"8219","TURB","1995-03-16","2019-12-23","221","2.7","75"
"8219","BDISC","2001-06-22","2009-10-19","40","0.06","1.1"
"8249","NH4","2009-01-27","2019-12-23","130","0.005","9.2"
"8249","ECOLI","2009-01-27","2019-12-23","131","9","710000"
"8249","PH","2009-01-27","2019-12-23","125","6.55","8.69"
"8249","DRP","2009-01-27","2019-12-23","131","0.007","0.527"
"8249","TN","2009-01-27","2019-12-23","130","0.24","12"
"8249","TON","2009-01-27","2019-12-23","130","0.001","2.3"
"8249","TP","2009-01-27","2019-12-23","131","0.027","1.563"
"8249","TURB","2009-01-27","2019-12-23","130","2.2","87.1"
"8249","BDISC","2009-02-26","2009-11-17","6","0.28","0.54"
"8516","NH4","1995-01-11","2019-12-02","295","0.005","0.19"
"8516","ECOLI","2006-07-05","2019-12-02","160","55","18000"
"8516","PH","2009-01-07","2019-12-02","126","6.07","8.56"
"8516","DRP","1995-01-11","2019-12-02","297","0.001","0.054"
"8516","TN","2009-01-07","2019-12-02","131","0.089","2.9"
"8516","TON","1995-01-11","2019-12-02","296","0.002","2.06"
"8516","TP","1995-01-11","2019-12-02","296","0.016","0.71"
"8516","TURB","1995-01-11","2019-12-02","299","1.2","348"
"8516","BDISC","1995-01-11","2009-11-04","108","0.1","2.1"
"8568","NH4","2009-01-07","2019-12-02","130","0.005","0.095"
"8568","ECOLI","2009-01-07","2019-12-02","132","9","6000"
"8568","PH","2009-01-07","2019-12-02","125","5.04","9.26"
"8568","DRP","2009-01-07","2019-12-02","132","0.009","0.049"
"8568","TN","2009-01-07","2019-12-02","132","0.05","0.81"
"8568","TON","2009-01-07","2019-12-02","130","0.002","0.478"
"8568","TP","2009-01-07","2019-12-02","132","0.019","0.094"
"8568","TURB","2009-01-07","2019-12-02","132","2.7","120"
"8568","BDISC","2009-01-07","2009-11-04","3","0.36","1.04"
"43829","NH4","1995-01-11","2019-12-02","296","0.005","0.119"
"43829","ECOLI","2006-07-05","2019-12-02","162","36","6500"
"43829","PH","2009-01-07","2019-12-02","126","5.89","8.49"
"43829","DRP","1995-01-11","2019-12-02","298","0.001","0.04"
"43829","TN","2009-01-07","2019-12-02","132","1.3","9.1"
"43829","TON","1995-01-11","2019-12-02","297","0.228","8.01"
"43829","TP","1995-01-11","2019-12-02","296","0.005","0.88"
"43829","TURB","1995-01-11","2019-12-02","300","0.4","196"
"43829","BDISC","1995-01-11","2009-11-04","107","0.1","6.4"
"43856","NH4","1995-01-11","2019-12-02","296","0.005","1.2"
"43856","ECOLI","2006-07-05","2019-12-02","161","2","2100000"
"43856","PH","2009-01-07","2019-12-02","125","5.52","8.53"
"43856","DRP","1995-01-11","2019-12-02","298","0.006","0.15"
"43856","TN","2009-01-07","2019-12-02","132","0.35","3.3"
"43856","TON","1995-01-11","2019-12-02","297","0.002","3.331"
"43856","TP","1995-01-11","2019-12-02","297","0.02","0.72"
"43856","TURB","1995-01-11","2019-12-02","300","0.5","221"
"43856","BDISC","1995-01-11","2009-11-04","109","0.07","3.1"
"44603","NH4","1995-01-10","2019-12-04","295","0.001","0.14"
"44603","ECOLI","2006-07-04","2019-12-04","158","1.6","40000"
"44603","PH","2009-01-06","2019-12-04","124","6.13","8.35"
"44603","DRP","1995-01-10","2019-12-04","288","0.004","0.33"
"44603","TN","2009-01-06","2019-12-04","131","0.01","0.74"
"44603","TON","1995-01-10","2019-12-04","293","0.001","0.389"
"44603","TP","1995-01-10","2019-12-04","289","0.006","0.39"
"44603","TURB","1995-01-10","2019-12-04","294","0.8","51.2"
"44603","BDISC","1995-01-10","2009-03-31","100","0.1","3.77"
"45313","NH4","1995-01-10","2019-12-04","288","0.005","0.22"
"45313","ECOLI","2006-07-04","2019-12-04","158","20","28000"
"45313","PH","2009-01-06","2019-12-04","122","5.34","7.84"
"45313","DRP","1995-01-10","2019-12-04","289","0.004","0.05"
"45313","TN","2009-01-06","2019-12-04","130","0.29","7.6"
"45313","TON","1995-01-10","2019-12-04","291","0.0037","6.7"
"45313","TP","1995-01-10","2019-12-04","290","0.019","0.57"
"45313","TURB","1995-01-10","2019-12-04","292","2.4","228"
"45313","BDISC","1995-01-10","2009-11-30","105","0.06","0.8"
"45373","NH4","2009-01-06","2019-12-04","130","0.005","0.07"
"45373","ECOLI","2009-01-06","2019-12-04","131","3.3","2200"
"45373","PH","2009-01-06","2019-12-04","122","4.94","8.04"
"45373","DRP","2009-01-06","2019-12-04","130","0.001","0.026"
"45373","TN","2009-01-06","2019-12-04","131","0.051","0.78"
"45373","TON","2009-01-06","2019-12-04","130","0.002","0.367"
"45373","TP","2009-01-06","2019-12-04","131","0.005","0.071"
"45373","TURB","2009-01-06","2019-12-04","131","2.6","41"
"45373","BDISC","2009-01-06","2009-11-30","5","0.3","0.47"
"45415","NH4","2009-01-06","2019-12-04","130","0.005","0.18"
"45415","ECOLI","2009-01-06","2019-12-04","131","27","4300"
"45415","PH","2009-01-06","2019-12-04","123","5.81","7.93"
"45415","DRP","2009-01-06","2019-12-04","130","0.004","0.061"
"45415","TN","2009-01-06","2019-12-04","131","0.21","2"
"45415","TON","2009-01-06","2019-12-04","129","0.001","0.966"
"45415","TP","2009-01-06","2019-12-04","131","0.017","0.31"
"45415","TURB","2009-01-06","2019-12-04","131","1.9","60"
"45415","BDISC","2009-01-06","2009-11-30","5","0.26","0.38"
"45505","NH4","2009-01-06","2019-12-04","130","0.005","0.079"
