"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"are are creek at kaituna tuamarina track","NH4","2009-07-20","2019-12-09","124","0.005","0.16"
"are are creek at kaituna tuamarina track","DRP","2009-07-20","2019-12-09","125","0.001","0.069"
"are are creek at kaituna tuamarina track","TN","2017-01-12","2019-12-09","36","0.39","1.03"
"are are creek at kaituna tuamarina track","TP","2017-01-12","2019-12-09","36","0.004","0.22"
"are are creek at kaituna tuamarina track","TURB","2009-07-20","2019-12-09","126","0.23","123"
"are are creek at kaituna tuamarina track","ECOLI","2009-07-20","2019-12-09","126","1","41000"
"are are creek at kaituna tuamarina track","TON","2009-07-20","2019-12-09","125","0.149","1.07"
"are are creek at kaituna tuamarina track","PH","2009-07-20","2019-12-09","126","6.9","7.8"
"awatere river at awapiri","NH4","2007-02-12","2019-12-10","155","0.005","0.724"
"awatere river at awapiri","DRP","2007-02-12","2019-12-10","155","0.001","0.089"
"awatere river at awapiri","TN","2017-01-11","2019-12-10","36","0.033","3"
"awatere river at awapiri","TP","2017-01-11","2019-12-10","36","0.008","1.72"
"awatere river at awapiri","TURB","2007-02-12","2019-12-10","154","0.5","4500"
"awatere river at awapiri","ECOLI","2007-02-12","2019-12-10","155","1","4000"
"awatere river at awapiri","TON","2007-03-13","2019-12-10","153","0.001","2.2"
"awatere river at awapiri","PH","2007-02-12","2019-12-10","153","7.5","8.4"
"mill creek at ormonds","NH4","2008-09-18","2019-12-09","132","0.005","0.055"
"mill creek at ormonds","DRP","2008-09-18","2019-12-09","132","0.001","0.026"
"mill creek at ormonds","TN","2017-01-11","2019-12-09","35","0.9","3.3"
"mill creek at ormonds","TP","2017-01-11","2019-12-09","35","0.012","0.065"
"mill creek at ormonds","TURB","2008-09-18","2019-12-09","132","0.6","17.7"
"mill creek at ormonds","ECOLI","2008-09-18","2019-12-09","131","1","20000"
"mill creek at ormonds","TON","2008-09-18","2019-12-09","132","0.52","3.674"
"mill creek at ormonds","PH","2008-09-18","2019-12-09","131","6.7","7.7"
"murphys creek at nelson street","NH4","2009-07-09","2019-12-09","123","0.005","0.017"
"murphys creek at nelson street","DRP","2009-07-09","2019-12-09","123","0.004","0.06"
"murphys creek at nelson street","TN","2017-01-05","2019-12-09","35","0.81","1.61"
"murphys creek at nelson street","TP","2017-01-05","2019-12-09","35","0.004","0.07"
"murphys creek at nelson street","TURB","2009-07-09","2019-12-09","123","0.14","8.6"
"murphys creek at nelson street","ECOLI","2009-07-09","2019-12-09","123","4","1900"
"murphys creek at nelson street","TON","2009-07-09","2019-12-09","122","0.78","1.97"
"murphys creek at nelson street","PH","2009-07-09","2019-12-09","122","6.6","7.6"
"omaka river at hawkesbury road bridge","NH4","2007-02-12","2019-12-11","152","0.005","0.117"
"omaka river at hawkesbury road bridge","DRP","2007-02-12","2019-12-11","151","0.001","0.02"
"omaka river at hawkesbury road bridge","TN","2017-01-09","2019-12-11","36","0.059","0.8"
"omaka river at hawkesbury road bridge","TP","2017-01-09","2019-12-11","36","0.004","0.049"
"omaka river at hawkesbury road bridge","TURB","2007-02-12","2019-12-11","152","0.13","27.8"
"omaka river at hawkesbury road bridge","ECOLI","2007-02-12","2019-12-11","152","1","10000"
"omaka river at hawkesbury road bridge","TON","2007-05-15","2019-12-11","151","0.001","1.128"
"omaka river at hawkesbury road bridge","PH","2007-02-12","2019-12-11","152","6.7","8"
"onamalutu river at northbank road","NH4","2007-02-13","2019-12-09","154","0.005","0.03"
"onamalutu river at northbank road","DRP","2007-02-13","2019-12-09","155","0.001","0.014"
"onamalutu river at northbank road","TN","2017-01-12","2019-12-09","36","0.062","0.64"
"onamalutu river at northbank road","TP","2017-01-12","2019-12-09","36","0.004","0.11"
"onamalutu river at northbank road","TURB","2007-02-13","2019-12-09","155","0.2","166"
"onamalutu river at northbank road","ECOLI","2007-02-13","2019-12-09","155","1","3900"
"onamalutu river at northbank road","TON","2007-02-13","2019-12-09","155","0.016","0.48"
"onamalutu river at northbank road","PH","2007-02-13","2019-12-09","155","6.6","7.9"
"opawa river at hammerichs road","NH4","2007-02-13","2019-12-09","152","0.005","0.165"
"opawa river at hammerichs road","DRP","2007-02-13","2019-12-09","152","0.001","0.038"
"opawa river at hammerichs road","TN","2017-01-05","2019-12-09","35","0.062","0.99"
"opawa river at hammerichs road","TP","2017-01-05","2019-12-09","35","0.004","0.146"
"opawa river at hammerichs road","TURB","2007-02-13","2019-12-09","152","0.83","470"
"opawa river at hammerichs road","ECOLI","2007-02-13","2019-12-09","151","1","1700"
"opawa river at hammerichs road","TON","2007-02-13","2019-12-09","151","0.001","4.042"
"opawa river at hammerichs road","PH","2007-02-13","2019-12-09","152","7.1","9.6"
"opawa river at swamp road","NH4","2007-02-12","2019-12-09","152","0.005","0.079"
"opawa river at swamp road","DRP","2007-02-12","2019-12-09","152","0.0027","0.033"
"opawa river at swamp road","TN","2017-01-05","2019-12-09","35","0.29","1.11"
"opawa river at swamp road","TP","2017-01-05","2019-12-09","35","0.01","0.099"
"opawa river at swamp road","TURB","2007-02-12","2019-12-09","152","0.503","250"
"opawa river at swamp road","ECOLI","2007-02-12","2019-12-09","151","1","3600"
"opawa river at swamp road","TON","2007-03-14","2019-12-09","150","0.192","3.735"
"opawa river at swamp road","PH","2007-02-12","2019-12-09","152","6.9","8.5"
"opouri river at tunakino valley road","NH4","2008-09-16","2019-12-10","136","0.005","0.013"
"opouri river at tunakino valley road","DRP","2008-09-16","2019-12-10","135","0.001","0.018"
"opouri river at tunakino valley road","TN","2017-01-10","2019-12-10","36","0.37","1.12"
"opouri river at tunakino valley road","TP","2017-01-10","2019-12-10","36","0.004","0.024"
"opouri river at tunakino valley road","TURB","2008-09-16","2019-12-10","135","0.2","52"
"opouri river at tunakino valley road","ECOLI","2008-09-16","2019-12-10","136","9","3100"
"opouri river at tunakino valley road","TON","2008-09-16","2019-12-10","135","0.23","1.13"
"opouri river at tunakino valley road","PH","2008-09-16","2019-12-10","134","6.3","7.4"
"pelorus river at fishermans flat","NH4","2007-08-23","2019-12-10","148","0.005","0.0536"
"pelorus river at fishermans flat","DRP","2007-08-23","2019-12-10","148","0.001","0.017"
"pelorus river at fishermans flat","TN","2017-01-10","2019-12-10","36","0.175","0.76"
"pelorus river at fishermans flat","TP","2017-01-10","2019-12-10","36","0.004","0.05"
"pelorus river at fishermans flat","TURB","2007-08-23","2019-12-10","148","0.23","114"
"pelorus river at fishermans flat","ECOLI","2007-08-23","2019-12-10","148","1","3600"
"pelorus river at fishermans flat","TON","2007-08-23","2019-12-10","148","0.034","0.76"
"pelorus river at fishermans flat","PH","2007-09-12","2019-12-10","147","6.5","8.2"
"pelorus river at kahikatea flat","NH4","2007-02-14","2019-12-10","155","0.005","0.048"
"pelorus river at kahikatea flat","DRP","2007-02-14","2019-12-10","155","0.001","0.017"
"pelorus river at kahikatea flat","TN","2017-01-10","2019-12-10","36","0.028","0.43"
"pelorus river at kahikatea flat","TP","2017-01-10","2019-12-10","36","0.004","0.034"
"pelorus river at kahikatea flat","TURB","2007-02-14","2019-12-10","155","0.12","119"
"pelorus river at kahikatea flat","ECOLI","2007-02-14","2019-12-10","154","1","700"
"pelorus river at kahikatea flat","TON","2007-02-14","2019-12-10","155","0.001","0.142"
"pelorus river at kahikatea flat","PH","2007-02-14","2019-12-10","155","6.8","8.2"
"rai river at rai falls","NH4","2007-02-14","2019-12-10","155","0.005","0.027"
"rai river at rai falls","DRP","2007-02-14","2019-12-10","156","0.001","0.032"
"rai river at rai falls","TN","2017-01-10","2019-12-10","36","0.37","1.52"
"rai river at rai falls","TP","2017-01-10","2019-12-10","36","0.004","0.044"
"rai river at rai falls","TURB","2007-02-14","2019-12-10","155","0.3","98"
"rai river at rai falls","ECOLI","2007-02-14","2019-12-10","155","6","6300"
"rai river at rai falls","TON","2007-02-14","2019-12-10","155","0.171","1.54"
"rai river at rai falls","PH","2007-02-14","2019-12-10","155","6.3","7.5"
"awatere river at river mouth","NH4","2007-02-12","2019-12-10","154","0.005","0.08"
"awatere river at river mouth","DRP","2007-02-12","2019-12-10","153","0.001","0.067"
"awatere river at river mouth","TN","2017-01-11","2019-12-10","36","0.043","0.8"
"awatere river at river mouth","TP","2017-01-11","2019-12-10","36","0.004","3.5"
"awatere river at river mouth","TURB","2007-02-12","2019-12-10","153","1.02","10900"
"awatere river at river mouth","ECOLI","2007-02-12","2019-12-10","153","1","8000"
"awatere river at river mouth","TON","2007-03-13","2019-12-10","152","0.001","0.847"
"awatere river at river mouth","PH","2007-02-12","2019-12-10","153","7.7","8.8"
"ronga river at upstream rai river","NH4","2008-09-16","2019-12-10","134","0.004","0.017"
"ronga river at upstream rai river","DRP","2008-09-16","2019-12-10","134","0.0011","0.022"
"ronga river at upstream rai river","TN","2017-01-10","2019-12-10","36","0.4","1.26"
"ronga river at upstream rai river","TP","2017-01-10","2019-12-10","36","0.004","0.03"
"ronga river at upstream rai river","TURB","2008-09-16","2019-12-10","135","0.1","66"
"ronga river at upstream rai river","ECOLI","2008-09-16","2019-12-10","135","8","5300"
"ronga river at upstream rai river","TON","2008-09-16","2019-12-10","135","0.23","1.25"
"ronga river at upstream rai river","PH","2008-09-16","2019-12-10","135","6","7.5"
"spring creek at wairau river floodgates","NH4","2007-02-14","2019-12-09","151","0.005","0.04"
"spring creek at wairau river floodgates","DRP","2007-02-14","2019-12-09","151","0.004","0.069"
"spring creek at wairau river floodgates","TN","2017-01-05","2019-12-09","34","0.176","0.88"
"spring creek at wairau river floodgates","TP","2017-01-05","2019-12-09","34","0.008","0.083"
"spring creek at wairau river floodgates","TURB","2007-02-14","2019-12-09","151","0.2","12.6"
"spring creek at wairau river floodgates","ECOLI","2007-02-14","2019-12-09","151","1","10000"
"spring creek at wairau river floodgates","TON","2007-02-14","2019-12-09","151","0.08","0.979"
"spring creek at wairau river floodgates","PH","2007-02-14","2019-12-09","151","6.6","7.9"
"taylor river at rail bridge","NH4","2007-02-12","2019-12-09","152","0.005","0.105"
"taylor river at rail bridge","DRP","2007-02-12","2019-12-09","152","0.004","0.064"
"taylor river at rail bridge","TN","2017-01-05","2019-12-09","35","0.64","1.19"
"taylor river at rail bridge","TP","2017-01-05","2019-12-09","35","0.008","0.122"
"taylor river at rail bridge","TURB","2007-02-12","2019-12-09","152","0.4","280"
"taylor river at rail bridge","ECOLI","2007-02-12","2019-12-09","151","6","9400"
"taylor river at rail bridge","TON","2007-03-14","2019-12-09","151","0.43","4.246"
"taylor river at rail bridge","PH","2007-02-12","2019-12-09","152","6.5","8"
"tuamarina river at state highway one","NH4","2007-02-14","2019-12-09","151","0.005","0.071"
"tuamarina river at state highway one","DRP","2007-02-14","2019-12-09","151","0.0011","0.07"
"tuamarina river at state highway one","TN","2017-01-05","2019-12-09","35","0.1","1.18"
"tuamarina river at state highway one","TP","2017-01-05","2019-12-09","35","0.012","0.29"
"tuamarina river at state highway one","TURB","2007-02-14","2019-12-09","152","0.61","2200"
"tuamarina river at state highway one","ECOLI","2007-02-14","2019-12-09","152","3","9300"
"tuamarina river at state highway one","TON","2007-02-14","2019-12-09","152","0.002","1.04"
"tuamarina river at state highway one","PH","2007-02-14","2019-12-09","151","6.5","7.9"
"waihopai river at craiglochart","NH4","2007-08-22","2019-12-11","149","0.005","0.038"
"waihopai river at craiglochart","DRP","2007-08-22","2019-12-11","149","0.001","0.045"
"waihopai river at craiglochart","TN","2017-01-09","2019-12-11","36","0.026","0.67"
"waihopai river at craiglochart","TP","2017-01-09","2019-12-11","36","0.005","0.37"
"waihopai river at craiglochart","TURB","2007-08-22","2019-12-11","149","0.3","1340"
"waihopai river at craiglochart","ECOLI","2007-08-22","2019-12-11","149","1","1700"
"waihopai river at craiglochart","TON","2007-08-22","2019-12-11","149","0.001","0.44"
"waihopai river at craiglochart","PH","2007-08-22","2019-12-11","149","7.1","9.1"
"waihopai river at sh63 bridge","NH4","2007-02-14","2019-12-11","154","0.005","0.07"
"waihopai river at sh63 bridge","DRP","2007-02-14","2019-12-11","154","0.001","0.064"
"waihopai river at sh63 bridge","TN","2017-01-09","2019-12-11","36","0.045","0.65"
"waihopai river at sh63 bridge","TP","2017-01-09","2019-12-11","36","0.004","0.46"
"waihopai river at sh63 bridge","TURB","2007-02-14","2019-12-11","155","0.2","1300"
"waihopai river at sh63 bridge","ECOLI","2007-02-14","2019-12-11","155","1","6000"
"waihopai river at sh63 bridge","TON","2007-02-14","2019-12-11","155","0.001","1.143"
"waihopai river at sh63 bridge","PH","2007-02-14","2019-12-11","153","6.7","8.1"
"waima (ure) river at sh1 bridge","NH4","2007-08-22","2019-12-09","133","0.005","0.02"
"waima (ure) river at sh1 bridge","DRP","2007-08-22","2019-12-09","137","0.001","0.026"
"waima (ure) river at sh1 bridge","TN","2017-01-09","2019-12-09","35","0.036","1.17"
"waima (ure) river at sh1 bridge","TP","2017-01-09","2019-12-09","35","0.004","3"
"waima (ure) river at sh1 bridge","TURB","2007-08-22","2019-12-09","135","0.1","3900"
"waima (ure) river at sh1 bridge","ECOLI","2007-08-22","2019-12-09","136","1","2500"
"waima (ure) river at sh1 bridge","TON","2007-08-22","2019-12-09","135","0.001","0.53"
"waima (ure) river at sh1 bridge","PH","2007-08-22","2019-12-09","135","7.13","8.6"
"wairau diversion at neals road bridge","NH4","2007-08-23","2019-12-09","146","0.005","0.146"
"wairau diversion at neals road bridge","DRP","2007-08-23","2019-12-09","146","0.001","0.033"
"wairau diversion at neals road bridge","TN","2017-01-05","2019-12-09","35","0.068","0.67"
"wairau diversion at neals road bridge","TP","2017-01-05","2019-12-09","35","0.011","0.096"
"wairau diversion at neals road bridge","TURB","2007-08-23","2019-12-09","146","0.8","3400"
"wairau diversion at neals road bridge","ECOLI","2007-08-23","2019-12-09","146","1","5900"
"wairau diversion at neals road bridge","TON","2007-08-23","2019-12-09","146","0.001","1.12"
"wairau diversion at neals road bridge","PH","2007-08-23","2019-12-09","145","6.5","8.1"
"waitohi river at state highway one","NH4","2007-08-22","2019-12-11","149","0.005","0.062"
"waitohi river at state highway one","DRP","2007-08-22","2019-12-11","149","0.001","0.033"
"waitohi river at state highway one","TN","2017-01-10","2019-12-11","36","0.046","0.88"
"waitohi river at state highway one","TP","2017-01-10","2019-12-11","36","0.004","0.183"
"waitohi river at state highway one","TURB","2007-08-22","2019-12-11","149","0.3","77"
"waitohi river at state highway one","ECOLI","2007-08-22","2019-12-11","149","12","2600"
"waitohi river at state highway one","TON","2007-08-22","2019-12-11","149","0.002","0.087"
"waitohi river at state highway one","PH","2007-08-22","2019-12-11","149","6.9","9.4"
"wakamarina river at sh6","NH4","2007-02-13","2019-12-10","155","0.005","0.019"
"wakamarina river at sh6","DRP","2007-02-13","2019-12-10","155","0.002","0.019"
"wakamarina river at sh6","TN","2017-01-10","2019-12-10","36","0.028","0.35"
"wakamarina river at sh6","TP","2017-01-10","2019-12-10","36","0.005","0.026"
"wakamarina river at sh6","TURB","2007-02-13","2019-12-10","155","0.1","76"
"wakamarina river at sh6","ECOLI","2007-02-13","2019-12-10","154","1","1800"
"wakamarina river at sh6","TON","2007-02-13","2019-12-10","155","0.001","0.178"
"wakamarina river at sh6","PH","2007-02-13","2019-12-10","155","6.4","7.7"
"black birch stream at awatere intake","NH4","2012-07-25","2019-12-03","84","0.005","0.025"
"black birch stream at awatere intake","DRP","2010-07-22","2019-12-03","103","0.004","0.034"
"black birch stream at awatere intake","TN",NA,NA,"0","Inf","-Inf"
"black birch stream at awatere intake","TP",NA,NA,"0","Inf","-Inf"
"black birch stream at awatere intake","TURB","2007-02-12","2019-12-03","164","0.1","37"
"black birch stream at awatere intake","ECOLI","2007-02-12","2019-12-03","146","1","240"
"black birch stream at awatere intake","TON","2012-07-25","2019-12-03","86","0.002","0.09"
"black birch stream at awatere intake","PH","2007-02-12","2019-12-03","146","6.4","8.4"
"branch river at weir intake","NH4","2009-08-18","2019-12-09","122","0.005","0.023"
"branch river at weir intake","DRP","2009-08-18","2019-12-09","124","0.001","0.023"
"branch river at weir intake","TN","2017-01-11","2019-12-09","36","0.01","0.24"
