"agency","xmlAge","var","nMeas","nMeas5","nSite","earliest","latest","minMeas","meanMeas","maxMeas","nNA"
"ac",0,"BDISC",1982,0,30,"10-Jan-1995","02-Feb-2012",0,0.6,6.4,0
"ac",0,"DRP",7715,1619,35,"09-Jan-1995","23-Dec-2019",0,0,1.3,0
"ac",0,"ECOLI",5205,1623,35,"15-Jun-2000","23-Dec-2019",1.6,3861.1,2600000,0
"ac",0,"NH4",7680,1629,35,"09-Jan-1995","23-Dec-2019",0,0.1,12.4,0
"ac",0,"PH",4039,1596,35,"06-Jan-2009","23-Dec-2019",4.4,7.2,9.6,0
"ac",0,"TN",4238,1629,35,"06-Jan-2009","23-Dec-2019",0,1.2,21,0
"ac",0,"TON",7722,1629,35,"09-Jan-1995","23-Dec-2019",0,0.8,17,0
"ac",0,"TP",7712,1628,35,"09-Jan-1995","23-Dec-2019",0,0.1,2.2,0
"ac",0,"TURB",7767,1627,35,"09-Jan-1995","23-Dec-2019",0.4,13,686,0
"boprc",0,"BDISC",5085,2765,47,"17-Jan-2005","17-Dec-2019",0,2.5,14.6,0
"boprc",0,"DRP",5247,2252,47,"17-Jan-2005","17-Dec-2019",0,0,0.9,0
"boprc",0,"ECOLI",8381,3519,52,"04-Jan-2005","28-Dec-2019",0,410.8,999900,0
"boprc",0,"NH4",5289,2241,47,"17-Jan-2005","17-Dec-2019",0,0,2.5,0
"boprc",0,"PH",5214,2171,46,"17-Jan-2005","17-Dec-2019",4.6,7.1,10,0
"boprc",0,"TN",4252,2252,46,"06-Oct-2009","17-Dec-2019",0,0.6,5.1,0
"boprc",0,"TON",5348,2249,47,"17-Jan-2005","17-Dec-2019",0,0.5,4.7,0
"boprc",0,"TP",5367,2251,47,"17-Jan-2005","17-Dec-2019",0,0.1,5.6,0
"boprc",0,"TURB",5539,2236,51,"17-Jan-2005","17-Dec-2019",0.2,11.1,3300,0
"ecan",0,"BDISC",7511,4502,131,"14-Feb-2013","19-Dec-2019",0,2.9,15.8,0
"ecan",0,"DRP",19974,7363,184,"12-Jan-2005","19-Dec-2019",0,0,1.7,0
"ecan",0,"ECOLI",19697,7349,184,"17-Jan-2005","19-Dec-2019",0.5,658.9,340000,0
"ecan",0,"NH4",20028,7352,184,"12-Jan-2005","19-Dec-2019",0,0,11,0
"ecan",0,"PH",19359,7315,184,"12-Jan-2005","19-Dec-2019",4.7,7.5,10.4,0
"ecan",0,"TN",18749,7218,184,"12-Jan-2005","19-Dec-2019",0,1.6,28,0
"ecan",0,"TON",20070,7379,184,"12-Jan-2005","19-Dec-2019",0,1.5,18.5,0
"ecan",0,"TP",17983,6189,177,"12-Jan-2005","19-Dec-2019",0,0.1,11.1,0
"ecan",0,"TURB",19271,7123,179,"12-Jan-2005","19-Dec-2019",0.1,14.5,13700,0
"es",0,"DRP",9074,2869,60,"13-Jan-2006","12-Dec-2019",0,0,0.5,0
"es",0,"ECOLI",10098,2836,60,"17-Jan-2005","12-Dec-2019",1,1422.3,150000,0
"es",0,"NH4",9102,2869,60,"13-Jan-2006","12-Dec-2019",0,0,2.2,0
"es",0,"PH",9112,2860,60,"13-Jan-2006","12-Dec-2019",3.8,7.3,9.7,0
"es",0,"TN",9100,2869,60,"13-Jan-2006","12-Dec-2019",0,1.3,20,0
"es",0,"TON",9103,2869,60,"13-Jan-2006","12-Dec-2019",0,0.9,19,0
"es",0,"TP",9080,2869,60,"13-Jan-2006","12-Dec-2019",0,0.1,3,0
"es",0,"TURB",8599,2869,60,"13-Jan-2006","12-Dec-2019",0.1,7.9,370,0
"gdc",0,"DRP",4801,1876,39,"06-Jan-2005","20-Dec-2019",0,0,4.3,0
"gdc",0,"ECOLI",5474,2255,39,"05-Jan-2005","31-Dec-2019",0,1297.9,2e+05,0
"gdc",0,"NH4",4946,1962,39,"06-Jan-2005","20-Dec-2019",0,0,5.7,0
"gdc",0,"PH",5315,2058,39,"05-Jan-2005","20-Dec-2019",6.7,8.1,10.1,0
"gdc",0,"TN",2413,1978,39,"08-Oct-2014","20-Dec-2019",0,0.6,14,0
"gdc",0,"TON",2086,1786,39,"11-Mar-2015","20-Dec-2019",0,0.2,12,0
"gdc",0,"TP",2431,1966,39,"10-Apr-2012","20-Dec-2019",0,0.1,4.9,0
