"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"bq708712","NH4","2015-07-28","2019-12-08","100","-0.002","0.025"
"bq708712","DRP","2015-07-28","2019-12-08","100","0.002","0.014"
"bq708712","ECOLI","2015-07-28","2019-12-08","100","0","7900"
"bq708712","TN","2015-07-28","2019-12-08","100","0.094","1.286"
"bq708712","TON","2015-07-28","2019-12-08","100","0.018","0.755"
"bq708712","PH","2015-07-28","2019-12-08","100","6.27","7.8"
"bq708712","TP","2015-07-28","2019-12-08","100","0.004","0.203"
"bq708712","TURB","2015-07-28","2019-12-08","100","0.2","21.9"
"bq708712","BDISC","2015-07-28","2019-12-08","145","0.329","11.469"
"bq711622","NH4","2005-01-24","2017-04-05","138","0.001","0.14"
"bq711622","DRP","2005-01-24","2017-04-05","133","0.001","0.023"
"bq711622","ECOLI","2005-01-24","2017-04-05","139","20","25000"
"bq711622","TN","2009-11-16","2017-04-05","86","0.108","1.24"
"bq711622","TON","2005-01-24","2017-04-05","139","0.014","0.941"
"bq711622","PH","2005-01-24","2017-04-05","138","5.96","7.52"
"bq711622","TP","2005-01-24","2017-04-05","140","0.005","0.22"
"bq711622","TURB","2005-01-24","2017-04-05","139","1","160"
"bq711622","BDISC","2005-01-24","2017-04-05","122","0.097","5.62"
"do406909","NH4","2005-07-17","2019-12-12","164","0","0.117"
"do406909","DRP","2005-07-17","2019-12-12","163","0.004","0.038"
"do406909","ECOLI","2005-07-17","2019-12-12","165","27","8100"
"do406909","TN","2009-11-15","2019-12-12","127","0.86","1.97"
"do406909","TON","2005-07-17","2019-12-12","164","0.006","1.12"
"do406909","PH","2005-07-17","2019-12-09","158","6.3","7.6"
"do406909","TP","2005-07-17","2019-12-12","165","0.022","0.525"
"do406909","TURB","2005-07-17","2019-12-09","232","1.5","503"
"do406909","BDISC","2005-07-17","2019-12-12","158","0.1","2.333"
"do686858","NH4","2007-08-07","2019-12-09","142","0.001","0.24"
"do686858","DRP","2007-08-07","2019-12-09","141","0.001","0.099"
"do686858","ECOLI","2007-08-07","2019-12-09","143","39","7600"
"do686858","TN","2009-11-15","2019-12-09","120","0.522","2.058"
"do686858","TON","2007-08-07","2019-12-09","144","0.006","1.169"
"do686858","PH","2007-08-07","2019-12-09","145","6","7.68"
"do686858","TP","2007-08-07","2019-12-09","145","0.011","0.288"
"do686858","TURB","2007-08-07","2019-12-09","144","1.3","100"
"do686858","BDISC","2007-08-07","2019-12-09","57","0.313","3.13"
"do712717","NH4","2005-02-22","2019-12-09","112","0.002","0.148"
"do712717","DRP","2005-02-22","2019-12-09","106","0.002","0.038"
"do712717","ECOLI","2005-02-22","2019-12-09","123","36","10000"
"do712717","TN","2010-07-12","2019-12-09","76","0.478","2.144"
"do712717","TON","2005-02-22","2019-12-09","108","0.005","1.365"
"do712717","PH","2005-02-22","2019-12-09","112","6.6","7.51"
"do712717","TP","2005-02-22","2019-12-09","112","0.01","0.289"
"do712717","TURB","2005-02-22","2019-12-09","112","0.7","48.3"
"do712717","BDISC","2005-02-22","2019-12-09","133","0.13","8.96"
"dp281304","NH4","2007-08-08","2019-12-09","142","0.001","0.101"
"dp281304","DRP","2007-08-28","2019-12-09","140","0.002","0.025"
"dp281304","ECOLI","2005-01-04","2019-12-26","514","0","16000"
"dp281304","TN","2009-11-16","2019-12-09","121","0.409","1.764"
"dp281304","TON","2007-08-08","2019-12-09","144","0.182","1.23"
"dp281304","PH","2006-10-27","2019-12-09","145","6.1","7.4"
"dp281304","TP","2007-08-08","2019-12-09","144","0.006","0.22"
"dp281304","TURB","2007-08-08","2019-12-09","144","0.8","55"
"dp281304","BDISC","2008-12-02","2019-12-09","73","0.285","4.233"
"dp784306","NH4","2005-01-24","2019-12-11","166","0.002","0.432"
"dp784306","DRP","2005-01-24","2019-12-11","166","0.002","0.043"
"dp784306","ECOLI","2005-01-24","2019-12-11","168","21","6600"
