"Region","Agency","CouncilSiteID","SiteID","LawaSiteID","NZReach","Lat","Long","SWQLanduse","Landcover"
"canterbury","niwa","Hakataramea above MH Br. (NRWQN) (TK5)","TK5","nrwqn-00004",13521035,-44.7248039245605,170.49055480957,"Rural","Forest"
"canterbury","ecan","OTUKAI01","otukaikino river at groynes inlet","ccc-00039",13043662,-43.4540719302806,172.602855421428,"Urban","Rural"
"canterbury","ecan","OTUKAI02","wilsons stream","ccc-00040",13042824,-43.4368820331632,172.644517314171,"Rural","Urban"
"canterbury","ecan","SQ10167","otiake river mt bell station","ecan-00119",13522285,-44.8177079794271,170.509193269944,"Rural","Forest"
"canterbury","ecan","SQ10174","penticotico stream sh83","ecan-00121",13522181,-44.8159015795211,170.636526011416,"Rural","Forest"
"canterbury","ecan","SQ10206","spring creek u/s sh8","ecan-00122",13513530,-44.3387106103236,170.022382740223,"Rural","Forest"
"canterbury","ecan","SQ10275","mary burn d/s sh8","ecan-00123",13510069,-44.1748838871789,170.323268662045,"Rural","Forest"
"canterbury","ecan","SQ10301","otematata river sh83","ecan-00124",13519342,-44.6045386487108,170.202876326489,"Rural","Forest"
"canterbury","ecan","SQ10804","wairepo creek at arm inlet","ecan-00007",13512700,-44.304589203999,170.070366166664,"Forest","Rural"
"canterbury","ecan","SQ20199","taumatakahu stream murray st","ecan-00028",13064640,-44.2492570143838,171.300171998514,"Urban","Rural"
"canterbury","ecan","SQ20203","orari river gorge","ecan-10026",13059254,-43.9271448534264,171.191418354195,"Rural","Forest"
"canterbury","ecan","SQ20401","saltwater creek sh1 bridge","ecan-00042",13066278,-44.4177432490757,171.242543374206,"Urban","Rural"
"canterbury","ecan","SQ20497","ashburton river south branch at buicks bridge","lawa-102225",13048322,-43.5831579951859,171.160981174229,"Rural","Forest"
"canterbury","ecan","SQ20544","orari lagoon outfall u/s orari river mouth","lawa-102382",13064483,-44.2412584283399,171.407107065064,"Rural","Forest"
"canterbury","ecan","SQ20725","hae hae te moana river south branch sheep dip road","ecan-00050",13061335,-44.0414997577651,171.111039569109,"Rural","Forest"
"canterbury","ecan","SQ20785","tekapo river at steel bridge","ecan-00184",13512774,-44.3084801868937,170.234077755284,"Rural","Forest"
"canterbury","ecan","SQ21045","ohapi creek guild rd","ecan-00178",13064205,-44.2152131930692,171.32631762896,"Forest","Rural"
"canterbury","ecan","SQ21046","ohapi creek south branch guild rd","ecan-00179",13064205,-44.2159607438904,171.325095232981,"Forest","Rural"
"canterbury","ecan","SQ21309","coopers creek sh72","ecan-00062",13060915,-44.0155449931473,171.277695291966,"Forest","Rural"
"canterbury","ecan","SQ26221","mckinnons stream wallaces bridge","ecan-00065",13063091,-44.1521484301623,171.480380494462,"Urban","Rural"
"canterbury","ecan","SQ26368","forks stream u/s sh8","ecan-00128",13507097,-44.000725375594,170.411869590627,"Rural","Forest"
"canterbury","ecan","SQ26369","irishman creek u/s sh8","ecan-00129",13508583,-44.0873506144388,170.348796015335,"Rural","Forest"
"canterbury","ecan","SQ26633","orari river parke rd","ecan-00069",13064395,-44.2376928368112,171.392203175831,"Forest","Rural"
"canterbury","ecan","SQ26931","bush stream rangitata gorge road, at bridge","ecan-00145",13049819,-43.6217877106542,170.878482539016,"Rural","Forest"
"canterbury","ecan","SQ26932","deep stream access road near tui house","ecan-00146",13051097,-43.6625053791851,170.928847143554,"Rural","Forest"
"canterbury","ecan","SQ30390","south brook u/s marsh rd","ecan-00148",13039145,-43.3250996233005,172.602311594076,"Urban","Rural"
"canterbury","ecan","SQ30445","otukaikino creek u/s dickeys rd","ecan-00083",13042879,-43.4355809672572,172.634987541677,"Urban","Rural"
"canterbury","ecan","SQ30707","aylmers valley stream opposite aubrey st","ecan-00149",13055880,-43.8103151997242,172.961527112424,"Urban","Rural"
"canterbury","ecan","SQ31020","rakaia river gorge 50m d/s recorder","ecan-00095",13046080,-43.5180350275828,171.657604831457,"Rural","Forest"
"canterbury","ecan","SQ33148","conway river u/s inland road","ecan-00153",13010916,-42.462460042992,173.273456191827,"Rural","Forest"
"canterbury","ecan","SQ33270","kowhai river 100m u/s sh1","ecan-00102",13009676,-42.4154852651802,173.631868766433,"Rural","Forest"
"canterbury","ecan","SQ33273","lyell creek u/s sh1","ecan-00103",13009203,-42.3991108957209,173.679833150177,"Urban","Rural"
"canterbury","ecan","SQ33476","lyell creek above mouth","ecan-10086",13009368,-42.4039557526444,173.68424533371,"Urban","Rural"
"canterbury","ecan","SQ33899","okarahia stream u/s sh1","ecan-00154",13013190,-42.5420066479243,173.450541729351,"Forest","Rural"
"canterbury","ecan","SQ34569","te wharau stream u/s charteris bay road","ecan-00155",13050285,-43.6541222165407,172.702475051359,"Urban","Rural"
"canterbury","ecan","SQ34704","waiau river u/s leslie hills road","ecan-00114",13017244,-42.6882154542009,172.799009745481,"Rural","Forest"
"canterbury","ecan","SQ34711","conway river u/s sh1","ecan-00136",13014552,-42.5991126280267,173.417846725885,"Rural","Forest"
"canterbury","ecan","SQ34884","zephyr stream u/s governors bay road","ecan-00140",13049190,-43.6193323981988,172.649768621716,"Forest","Rural"
"canterbury","ecan","SQ35119","twizel river d/s black stilt reserve","ecan-00185",13513202,-44.3306879606976,170.186715283422,"Rural","Forest"
"canterbury","ecan","SQ35172","kahutara river at dairy farm rd","ecan-00160",13009520,-42.4081575233949,173.541717802496,"Rural","Forest"
"canterbury","ecan","SQ35173","blue duck creek above sh1","ecan-00161",13006067,-42.2791582986772,173.768140444263,"Forest","Rural"
"canterbury","ecan","SQ35174","hapuku river at sh1","ecan-00162",13007011,-42.3113410056165,173.717602424253,"Rural","Forest"
"canterbury","ecan","SQ35236","purau stream 100m u/s purau ave","ecan-00190",13049826,-43.6398887786581,172.750504758188,"Urban","Rural"
"canterbury","ecan","SQ35798","hinds river lower beach road","ecan-00193",13062286,-44.1049567805405,171.652852136689,"Forest","Rural"
"canterbury","ecan","SQ35818","clarence river over jacks pass","ecan-00192",13010795,-42.4577108842469,172.841467731169,"Rural","Forest"
"canterbury","ecan","SQ35872","mandamus river at tekoa road","ecan-00174",13020217,-42.7877300364061,172.556570509842,"Rural","Forest"
"canterbury","ecan","SQ35873","ashburton river south branch at quarry road","ecan-00169",13050665,-43.6600406392925,171.296705817493,"Rural","Forest"
"canterbury","ecan","SQ35875","lambies stream at ashburton gorge road","ecan-00171",13049582,-43.6173618848878,171.181902258707,"Rural","Forest"
"canterbury","ecan","SQ35962","ohau canal below power station","lawa-102381",13513589,-44.3475451872091,170.194260221944,"Rural","Forest"
"canterbury","ecan","STYX01","smacks creek at gardiners road","ccc-00028",13044162,-43.4622427363149,172.589518939099,"Urban","Rural"
"canterbury","ecan","STYX04","ka putahi/kaputone creek at blakes road","ccc-00031",13044230,-43.4617268213067,172.633980776857,"Rural","Urban"
"canterbury","ecan","STYX05","ka putahi/kaputone creek at belfast rd","ccc-00032",13043691,-43.4596621439944,172.656159701242,"Rural","Urban"
"canterbury","ecan","STYX07","styx river at richards bridge","ccc-00034",13043308,-43.4473682406571,172.678242764415,"Rural","Urban"
"canterbury","niwa","Waimakariri at Gorge (NRWQN) (CH3)","CH3","nrwqn-00055",13040481,-43.3590126037598,172.051177978516,"Rural","Forest"
"canterbury","niwa","Waitaki at Kurow (NRWQN) (TK4)","TK4","nrwqn-00005",13520741,-44.7005424499512,170.451187133789,"Rural","Forest"
"canterbury","niwa","Waitaki at SH1 Br. (NRWQN) (TK6)","TK6","nrwqn-00003",13524234,-44.9271202087402,171.100341796875,"Rural","Forest"
