"Region","Agency","CouncilSiteID","SiteID","LawaSiteID","NZReach","Lat","Long","SWQLanduse","Landcover"
"gisborne","gdc","Awatere River at SH35 Bridge","awatere river at sh35 bridge","gdc-00002",5000717,-37.67457224,178.34813828,"Rural","Forest"
"gisborne","gdc","Ihungia River at Ihungia Rd Br","ihungia river at ihungia rd br","gdc-00005",5004508,-38.04691689,178.1766513,"Forest","Rural"
"gisborne","gdc","Karakatuwhero River at SH35 Br","karakatuwhero river at sh35 br","gdc-00006",5000331,-37.62563187,178.33460144,"Rural","Forest"
"gisborne","gdc","Mangatutu Str at Sh35-Waipahuru Bridge","mangatutu str at sh35-waipahuru bridge","lawa-100336",5000205,-37.59944782,178.26023485,"Rural","Forest"
"gisborne","gdc","Mata River at Pouturu Br","mata river at pouturu br","lawa-100348",5004528,-38.04748307,178.12338148,"Forest","Rural"
"gisborne","gdc","Oweka River at SH35 Bridge","oweka river at sh35 bridge","gdc-00013",5000164,-37.5927497,178.15253622,"Rural","Forest"
"gisborne","gdc","Turanganui River at Gladstone Rd Bridge","turanganui river at gladstone rd bridge","gdc-00033",5013192,-38.66849384,178.02855565,"Urban","Rural"
"gisborne","gdc","Waihirere Str at Domain","waihirere str at domain","lawa-100333",5012154,-38.57138316,177.94697884,"Forest","Rural"
"gisborne","gdc","Waingaromia River at Terrace Station","waingaromia river at terrace station","gdc-00024",5008416,-38.359148,177.93349507,"Rural","Forest"
"gisborne","gdc","Wainui Stream at Pare Street","wainui stream at pare street","gdc-00026",5013341,-38.69179364,178.07147029,"Rural","Urban"
"gisborne","gdc","Waipaoa River at Matawhero Bridge","waipaoa river at matawhero bridge","gdc-00028",5007146,-38.65370647,177.91769479,"Rural","Forest"
"gisborne","gdc","Wharekahika River U/S of Wharf Bridge","wharekahika river u/s of wharf bridge","gdc-00029",5000078,-37.57137121,178.28161313,"Rural","Forest"
