"Region","Agency","CouncilSiteID","SiteID","LawaSiteID","NZReach","Lat","Long","SWQLanduse","Landcover"
"wellington","gwrc","Akatarawa River at Hutt Confluence","akatarawa river at hutt confluence","gw-00025",9009342,-41.08952998,175.09766097,"Forest","forest"
"wellington","gwrc","Awhea River at Tora Rd","awhea river at tora rd","gw-00053",9017635,-41.4945283,175.515193,"Rural","rural"
"wellington","gwrc","Enaki Stream D/S site for Riparian","enaki stream upstream of mangatarere stream confluence","lawa-100394",9007826,-41.02534566,175.49726909,"Rural","rural"
"wellington","gwrc","Horokiri Stream at Snodgrass","horokiri stream at snodgrass","gw-00013",9009035,-41.07930266,174.92617299,"Rural","rural"
"wellington","gwrc","Huangarua River at Ponatahi Bridge","huangarua river at ponatahi bridge","gw-00051",9012636,-41.20800072,175.46909416,"Rural","rural"
"wellington","gwrc","Hutt River at Boulcott","hutt river at boulcott","gw-00022",9012031,-41.19670926,174.92047746,"Forest","forest"
"wellington","gwrc","Hutt River at Kaitoke","hutt river at kaitoke","nrwqn-00047",9008427,-41.05101129,175.19123118,"Forest","forest"
"wellington","gwrc","Hutt River at Te Marua Intake Site","hutt river at te marua intake site","gw-00020",9009042,-41.07991041,175.14363637,"Forest","forest"
"wellington","gwrc","Hutt River Opposite Manor Park Golf Club","hutt river opposite manor park golf club","gw-00021",9010876,-41.15364323,174.98644435,"Forest","forest"
"wellington","gwrc","Kaiwharawhara Stream at Ngaio Gorge","kaiwharawhara stream at ngaio gorge","gw-00019",9013489,-41.25798289,174.77940709,"Urban","urban"
"wellington","gwrc","Karori Stream at Makara Peak Mountain Bike Park","karori stream at makara peak mountain bike park","gw-00018",9014420,-41.29542655,174.72253616,"Urban","urban"
"wellington","gwrc","Kopuaranga River at Stuarts","kopuaranga river at stuarts","gw-00038",9004627,-40.89357041,175.69179599,"Rural","rural"
"wellington","gwrc","Makara Stream at Kennels","makara stream at kennels","gw-00017",9012604,-41.23595385,174.71271629,"Rural","rural"
"wellington","gwrc","Mangaone Stream at Sims Road Bridge","mangaone stream at sims road bridge","gw-00007",9001470,-40.79042456,175.0889146,"Rural","rural"
"wellington","gwrc","Mangapouri Stream at Bennetts Rd","mangapouri stream at bennetts rd","gw-00002",9000495,-40.74299396,175.14078335,"Urban","urban"
"wellington","gwrc","Mangaroa River at Te Marua","mangaroa river at te marua","gw-00024",9009586,-41.09432204,175.1280911,"Rural","rural"
"wellington","gwrc","Mangatarere River at State Highway 2","mangatarere river at state highway 2","gw-00050",9008718,-41.05477704,175.49618121,"Rural","rural"
"wellington","gwrc","Otaki River at Mouth","otaki river at mouth","gw-00006",9000731,-40.75873884,175.1085342,"Forest","forest"
"wellington","gwrc","Otaki River at Pukehinau","otaki river at pukehinau","gw-00005",9002382,-40.8220466,175.19957526,"Forest","forest"
"wellington","gwrc","Pakuratahi River 50m Below Farm Creek","pakuratahi river 50m below farm creek","gw-00023",9008887,-41.0652202,175.19714172,"Forest","forest"
"wellington","gwrc","Parkvale Stream at Renalls Weir","parkvale stream at renalls weir","gw-00046",9009215,-41.07801993,175.54166084,"Rural","rural"
"wellington","gwrc","Parkvale tributary at Lowes Reserve","parkvale tributary at lowes reserve","gw-00045",9007329,-40.99686768,175.59297497,"Rural","rural"
