"Region","Agency","CouncilSiteID","SiteID","LawaSiteID","NZReach","Lat","Long","SWQLanduse","Landcover"
"marlborough","mdc","Awatere River at Awapiri","awatere river at awapiri","mdc-00003",11028051,-41.83477611,173.73081669,"Rural","Forest"
"marlborough","mdc","Awatere River at River Mouth","awatere river at river mouth","mdc-00002",11021862,-41.60808432,174.15146174,"Rural","Forest"
"marlborough","mdc","Kenepuru Stream at Kenepuru Head","kenepuru stream at kenepuru head","mdc-00011",11008632,-41.16612951,174.12387854,"Rural","Forest"
"marlborough","mdc","Opouri River at Tunakino Valley Road","opouri river at tunakino valley road","mdc-00017",11009581,-41.21217636,173.62272553,"Rural","Forest"
"marlborough","mdc","Pelorus River at Fishermans Flat","te hoiere/pelorus river at fishermans flat","mdc-00020",11012030,-41.30073927,173.71156417,"Rural","Forest"
"marlborough","mdc","Rai River at Rai Falls","rai river at rai falls","mdc-00022",11011325,-41.28556058,173.57463968,"Rural","Forest"
"marlborough","mdc","Ronga River at Upstream Rai River","ronga river at upstream rai river","mdc-00023",11009511,-41.21043507,173.59601344,"Rural","Forest"
"marlborough","mdc","Tuamarina River at State Highway One","tuamarina river at state highway one","mdc-00025",11016362,-41.43823364,173.96463451,"Rural","Forest"
"marlborough","mdc","Waihopai River at Craiglochart","waihopai river at craiglochart","mdc-00030",11022016,-41.62117201,173.68897967,"Rural","Forest"
"marlborough","mdc","Waitohi River at State Highway One","waitohi river at state highway one","mdc-00034",11011673,-41.29364252,174.00495969,"Urban","Forest"
