"Region","Agency","CouncilSiteID","SiteID","LawaSiteID","NZReach","Lat","Long","SWQLanduse","Landcover"
"otago","orc","Cardrona at Mt Barker","cardrona river at mt barker","orc-00103",14015751,-44.75005579,169.11690806,"Rural","Forest"
"otago","niwa","Clutha at Balclutha (NRWQN) (DN4)","DN4","nrwqn-00025",14070075,-46.2372817993164,169.747955322266,"Rural","Urban"
"otago","niwa","Clutha at Luggate Br. (NRWQN) (AX1)","AX1","nrwqn-00032",14014867,-44.7292785644531,169.280044555664,"Rural","Forest"
"otago","niwa","Clutha at Millers Flat (NRWQN) (AX4)","AX4","nrwqn-00027",14055262,-45.6647491455078,169.410064697266,"Rural","Forest"
"otago","orc","Dart at The Hillocks","dart river at the hillocks","orc-00107",14017708,-44.77397608,168.32442871,"Forest","Rural"
"otago","orc","Dunstan Creek at Beattie Road","dunstan creek at beattie road","orc-00012",14022310,-44.93943275,169.76486579,"Rural","Forest"
"otago","orc","Hawea at Camphill Bridge","hawea river at camphill bridge","orc-00015",14011901,-44.65045243,169.24640206,"Rural","Forest"
"otago","orc","Lindis at Ardgour Road","lindis river at ardgour road","orc-00041",14020507,-44.88495626,169.38427631,"Rural","Forest"
"otago","orc","Lindis at Lindis Peak","lindis river at lindis peak","orc-00040",14015093,-44.74537543,169.50782299,"Rural","Forest"
"otago","orc","Lindsays Creek at North Road Bridge","lindsays creek at north rd bridge","orc-00119",14060534,-45.85174277,170.52383408,"Rural","Urban"
"otago","orc","Luggate Creek at SH6 Bridge","luggate creek at sh6 bridge","orc-00043",14015273,-44.7484624,169.26871836,"Rural","Forest"
"otago","orc","Matukituki at West Wanaka","matukituki river at west wanaka","orc-00048",14011802,-44.63582466,168.990675,"Rural","Forest"
"otago","niwa","Shotover at Bowens Peak (NRWQN) (AX3)","AX3","nrwqn-00031",14026862,-44.9899711608887,168.714981079102,"Rural","Forest"
"otago","orc","Taieri at Linnburn Runs Road","taieri river at linnburn runs road","orc-00074",14048641,-45.4835422,169.81390371,"Rural","Forest"
"otago","orc","Taieri at Stonehenge","taieri river at stonehenge","orc-00071",14042138,-45.32616959,169.95433519,"Rural","Forest"
"otago","orc","Waipori at Waipori Falls Reserve","waipori river at waipori falls reserve","orc-00089",14063178,-45.9305015,170.0660589,"Rural","Forest"
