"Region","Agency","CouncilSiteID","SiteID","LawaSiteID","NZReach","Lat","Long","SWQLanduse","Landcover"
"tasman","tdc","RW Aorere @ Le Comte","aorere at le comte","tdc-00002",10000552,-40.66933395,172.64390894,"Rural","Forest"
"tasman","tdc","RW Borck @ 400m ds Queen St","borck at 400m d-s queen st","lawa-102294",10012612,-41.32547773,173.17517766,"Urban","Rural"
"tasman","tdc","RW Hunters @ Kikiwa","hunters at kikiwa","tdc-00032",10023488,-41.67616535,172.86541913,"Rural","Forest"
"tasman","tdc","RW Kaituna @ Sollys Rd","kaituna at sollys road","tdc-00004",10000787,-40.7144525,172.61401095,"Rural","Forest"
"tasman","tdc","RW Lee @ Meads Br","lee at meads br","tdc-00020",10015334,-41.40767821,173.15891132,"Rural","Forest"
"tasman","tdc","RW Mangles @ 5km u-s Buller","mangles at 5km u-s buller","lawa-102300",12011726,-41.81444416,172.38886053,"Rural","Forest"
"tasman","tdc","RW Matakitaki @ SH6 Murchison","matakitaki at sh6 murchison","tdc-00022",12011297,-41.79958182,172.31978935,"Rural","Forest"
"tasman","tdc","RW Motueka @ SH60 bridge","motueka at sh60 bridge","tdc-10019",10006766,-41.09091841,173.01039461,"Rural","Forest"
"tasman","tdc","RW Motupiko @ 250m u-s Motueka Rv","motupiko at 250m u-s motueka rv","lawa-102296",10016710,-41.45087506,172.83233928,"Rural","Forest"
"tasman","tdc","RW Reservoir Ck @ 20m d-s Salisbury Rd","reservoir creek at 20m d-s salisbury rd","tdc-00019",10012892,-41.3342452,173.20093156,"Urban","Rural"
"tasman","tdc","RW Riwaka @ Hickmotts","riwaka at hickmotts","tdc-00010",10006369,-41.06504653,172.98449157,"Rural","Forest"
"tasman","tdc","RW Takaka @ Kotinga","takaka at kotinga","tdc-00014",10002734,-40.86370741,172.80376047,"Rural","Forest"
"tasman","tdc","RW Waimea @ SH60 Appleby","waimea at sh60 appleby","tdc-00015",10011762,-41.30970201,173.13000163,"Rural","Forest"
"tasman","tdc","RW Wairoa @ SH6","wairoa at sh6","lawa-102301",10013921,-41.37678337,173.12078337,"Rural","Forest"
"tasman","tdc","RW Wangapeka @ 5km u-s Dart","wangapeka at 5km u-s dart","tdc-00036",10016609,-41.44334463,172.5964473,"Rural","Forest"
