"Region","Agency","CouncilSiteID","SiteID","LawaSiteID","NZReach","Lat","Long","SWQLanduse","Landcover"
"taranaki","trc","Mangaehu at Bridge","34309","trc-00001",6009244,-39.388696695389,174.46659514071,"Rural","rural"
"taranaki","trc","Mangaoraka at Corbett Rd","39402","trc-00003",6002693,-39.0561874531992,174.185074587009,"Rural","rural"
"taranaki","trc","MGH000950","mangaehu river at raupuha rd bridge","trc-00001",6009244,-39.388696695389,174.46659514071,"Rural","rural"
"taranaki","trc","MKW000300","maketawa stream at tarata rd.","trc-00002",6004420,-39.1553326474269,174.259022657298,"Rural","rural"
"taranaki","trc","MRK000420","mangaoraka stream at corbett rd. (recorder site).","trc-00003",6002693,-39.0561874531992,174.185074587009,"Rural","rural"
"taranaki","trc","PAT000200","patea river at barclay road bridge","trc-00004",6007694,-39.3239468868425,174.190532112583,"Forest","forest"
"taranaki","trc","PAT000360","patea river at skinner road bridge","trc-00005",6008066,-39.339535909765,174.345112058216,"Rural","rural"
"taranaki","trc","Patea at Skinner Rd","34308","trc-00005",6008066,-39.339535909765,174.345112058216,"Rural","rural"
"taranaki","trc","PNH000200","punehu stream at wiremu rd.","trc-00006",6008582,-39.4119183245758,174.014342055553,"Forest","forest"
"taranaki","trc","PNH000900","punehu stream at s.h. 45","trc-00007",6010817,-39.4960109396189,173.906510937029,"Rural","rural"
"taranaki","trc","Stony at Mangatete Bridge","38002","trc-00008",6005935,-39.2250290649146,173.896921086552,"Forest","forest"
"taranaki","trc","STY000300","stony river at mangatete road","trc-00008",6005935,-39.2250290649146,173.896921086552,"Forest","forest"
"taranaki","trc","Waingongoro at Eltham Rd","35004","trc-00009",6010234,-39.4290325603954,174.284754654696,"Rural","rural"
"taranaki","trc","Waingongoro at SH45","35005","trc-00010",6013024,-39.5762833937108,174.210241450866,"Rural","rural"
"taranaki","trc","Waitara at Bertrand Rd","39503","nrwqn-00036",6002613,-39.0479013294817,174.255104112262,"Rural","rural"
"taranaki","trc","Waiwhakaiho at Egmont Village","39201","trc-00011",6004135,-39.1416070338834,174.137432765365,"Rural","rural"
"taranaki","trc","WGG000500","waingongoro river at eltham rd bridge","trc-00009",6010234,-39.4290325603954,174.284754654696,"Rural","rural"
"taranaki","trc","WGG000900","waingongoro river at sh45","trc-00010",6013024,-39.5762833937108,174.210241450866,"Rural","rural"
"taranaki","trc","Whenuakura at Nicholson Rd","34202","trc-00050",6015635,-39.7542575926025,174.549643012479,"Rural","rural"
"taranaki","trc","WKH000500","waiwhakaiho river at s.h.3","trc-00011",6004135,-39.1416070338834,174.137432765365,"Rural","rural"
"taranaki","trc","WNR000450","whenuakura at nicholson road","trc-00050",6015635,-39.7542575926025,174.549643012479,"Rural","rural"
"taranaki","trc","WTR000540","waitara at autawa road","lawa-100578",6004706,-39.167829909107,174.397395530163,"Rural","rural"
