"CouncilSiteID","Date","Value","Measurement","Censored","CenType","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Lat","Long","accessDate","Landcover","Altitude","AltitudeCl"
"mgh000950","12-Jan-05","1.2","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","09-Feb-05","1.97","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","10-Mar-05","0.64","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","13-Apr-05","1.14","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","11-May-05","0.57","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","08-Jun-05","1.39","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","13-Jul-05","0.45","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","10-Aug-05","1.47","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","14-Sep-05","1.36","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","12-Oct-05","0.16","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","09-Nov-05","1.44","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","14-Dec-05","0.52","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","11-Jan-06","2.12","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","08-Feb-06","0.3","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","09-Mar-06","0.93","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","13-Apr-06","1.6","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","10-May-06","0.66","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","14-Jun-06","0.27","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","12-Jul-06","0.11","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","09-Aug-06","0.11","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","13-Sep-06","0.85","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","11-Oct-06","1.86","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","08-Nov-06","0.07","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","13-Dec-06","1.73","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","10-Jan-07","1.5","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","14-Feb-07","1.39","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","14-Mar-07","0.15","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","11-Apr-07","1.77","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","09-May-07","1.78","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
"mgh000950","13-Jun-07","0.37","BDISC",FALSE,"FALSE","mangaehu river at raupuha rd bridge","trc-00001",6009244,"taranaki","trc","lowland","Rural",-39.388696695389,174.46659514071,"23-Jun-2020","Rural",169,"Upland"
