"CouncilSiteID","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Lat","Long","accessDate","Catchment","Landcover","Altitude","AltitudeCl"
"100007","waiharakeke at stringers road","nrc-00028",1009997,"northland","nrc","lowland","Rural",-35.39381151,174.01971179,"03-Jul-2020","unstated","Rural",21,"Lowland"
"100194","hatea at mair park","nrc-00019",1018018,"northland","nrc","lowland","Urban",-35.71100271,174.32972329,"03-Jul-2020","unstated","Urban",29,"Lowland"
"100237","mangahahuru at main road","nrc-00013",1016447,"northland","nrc","lowland","Forest",-35.63994339,174.31310476,"03-Jul-2020","unstated","Forest",117,"Lowland"
"100281","mangahahuru at apotu road","nrc-00014",1015857,"northland","nrc","lowland","Rural",-35.61771787,174.26008474,"03-Jul-2020","unstated","Rural",88,"Lowland"
"100363","awanui at fndc","nrc-00016",1004333,"northland","nrc","lowland","Rural",-35.12158307,173.27541636,"03-Jul-2020","unstated","Rural",21,"Lowland"
"100370","awanui at waihue channel","nrc-00017",1004083,"northland","nrc","lowland","Rural",-35.10803978,173.22728661,"03-Jul-2020","unstated","Rural",13,"Lowland"
"101038","mangakahia at titoki","nrwqn-00021",1018598,"northland","nrc","lowland","Rural",-35.73415795,174.05051642,"03-Jul-2020","unstated","Rural",16,"Lowland"
"101524","waipapa at landing","nrc-00031",1006063,"northland","nrc","lowland","Rural",-35.20326296,173.96839515,"03-Jul-2020","unstated","Rural",24,"Lowland"
"101530","kerikeri at stone store","nrc-00021",1006289,"northland","nrc","lowland","Rural",-35.21718382,173.96285807,"03-Jul-2020","unstated","Rural",52,"Lowland"
"101625","mangere at knight road","nrc-00001",1017791,"northland","nrc","lowland","Rural",-35.69795439,174.1449511,"03-Jul-2020","unstated","Rural",94,"Lowland"
"101753","wairua at purua","nrwqn-00022",1016617,"northland","nrc","lowland","Rural",-35.65281793,174.15189542,"03-Jul-2020","unstated","Rural",144,"Lowland"
"102248","waiotu at sh1","nrc-00012",1013585,"northland","nrc","lowland","Rural",-35.53221197,174.22856874,"03-Jul-2020","unstated","Rural",100,"Lowland"
"102249","whakapara at cableway","nrc-00011",1013917,"northland","nrc","lowland","Rural",-35.54190088,174.27149499,"03-Jul-2020","unstated","Rural",93,"Lowland"
"102256","kaihu at gorge","nrc-00006",1019201,"northland","nrc","lowland","Rural",-35.76264196,173.68526146,"03-Jul-2020","unstated","Rural",107,"Lowland"
"102257","manganui at mititai road","nrc-00002",1023081,"northland","nrc","lowland","Rural",-35.96148471,174.11295815,"03-Jul-2020","unstated","Rural",20,"Lowland"
"102258","opouteke at suspension bridge","nrc-00008",1017632,"northland","nrc","lowland","Forest",-35.69565634,173.86768807,"03-Jul-2020","unstated","Forest",182,"Upland"
"102674","kaeo at dip road","nrc-00020",1003935,"northland","nrc","lowland","Rural",-35.09785338,173.77159365,"03-Jul-2020","unstated","Rural",19,"Lowland"
"103178","waitangi at waimate north road","nrc-00010",1008027,"northland","nrc","lowland","Rural",-35.29616152,173.90069715,"03-Jul-2020","unstated","Rural",88.5,"Lowland"
"103304","waipoua at sh12","nrc-00007",1016579,"northland","nrc","lowland","Forest",-35.65250409,173.57039274,"03-Jul-2020","unstated","Forest",185.5,"Upland"
"1043837","papakura @ alfriston-ardmore rd","lawa-102239",2007351,"auckland","arc","lowland","Rural",-37.0064500003998,174.958219999583,"03-Jul-2020","papakura stream","Rural",53,"Lowland"
"105008","ruakaka at flyger road","nrc-00026",1021503,"northland","nrc","lowland","Rural",-35.86945027,174.40261082,"03-Jul-2020","unstated","Rural",14,"Lowland"
"105231","punakitere at taheke","nrc-00005",1011729,"northland","nrc","lowland","Rural",-35.46260455,173.66127167,"03-Jul-2020","unstated","Rural",31,"Lowland"
"105532","victoria at victoria valley road","nrc-00015",1004839,"northland","nrc","lowland","Forest",-35.147225,173.40764898,"03-Jul-2020","unstated","Forest",92,"Lowland"
"108359","waiarohia at second avenue","nrc-00004",1018445,"northland","nrc","lowland","Urban",-35.72266387,174.31624099,"03-Jul-2020","unstated","Urban",7.66666666666667,"Lowland"
"108941","waipao at draffins road","nrc-00030",1018522,"northland","nrc","lowland","Rural",-35.72655755,174.12530358,"03-Jul-2020","unstated","Rural",74.5,"Lowland"
"108978","mangamuka at iwitaua road","nrc-00022",1006091,"northland","nrc","lowland","Forest",-35.20920885,173.54106138,"03-Jul-2020","unstated","Forest",20,"Lowland"
"108979","oruru at oruru road","nrc-00024",1002906,"northland","nrc","lowland","Rural",-35.03863042,173.49052107,"03-Jul-2020","unstated","Rural",14,"Lowland"
"109020","utakura at horeke road","nrc-00027",1008814,"northland","nrc","lowland","Rural",-35.3399122,173.62625659,"03-Jul-2020","unstated","Rural",163,"Upland"
"109021","hakaru at topuni","nrc-00018",1026482,"northland","nrc","lowland","Rural",-36.20376405,174.49424394,"03-Jul-2020","unstated","Rural",102.5,"Lowland"
"109096","mangakahia at twin bridges","nrc-00009",1015928,"northland","nrc","lowland","Rural",-35.62991807,173.85405607,"03-Jul-2020","unstated","Rural",122.5,"Lowland"
"109098","waimamaku at sh12","nrc-00029",1014099,"northland","nrc","lowland","Rural",-35.55860768,173.44871601,"03-Jul-2020","unstated","Rural",67.5,"Lowland"
"110431","otaika at otaika valley road","nrc-00045",1019622,"northland","nrc","lowland","Rural",-35.77783168,174.27764197,"03-Jul-2020","unstated","Rural",91,"Lowland"
"110603","ngunguru at coalhill lane","lawa-100668",1016568,"northland","nrc","lowland","Rural",-35.64242325,174.42564673,"03-Jul-2020","unstated","Rural",68.5,"Lowland"
"14393","awakino river at gribbon rd","ew-00001",1.54299369150709e-317,"waikato","wrc","lowland","Rural",-38.5631084931943,174.837116995288,"03-Jul-2020","awakino river","Forest",153,"Upland"
"14395","awakino river at sh3 awakau rd junction","ew-00002",1.54728069911605e-317,"waikato","wrc","lowland","Forest",-38.67060886189,174.709357790682,"03-Jul-2020","awakino river","Rural",183,"Upland"
"14419","awaroa river (waiuku) at otaua rd br opp moseley rd","ew-00003",1.50611564357021e-317,"waikato","wrc","lowland","Rural",-37.3017487330735,174.758607034067,"03-Jul-2020","waikato river","Rural",1.06307244301,"Lowland"
"14435","awaroa stm (rotowaro) at sansons br @ rotowaro-huntly rd","ew-00004",1.50986609588779e-317,"waikato","wrc","lowland","Rural",-37.5870112217529,175.09097104267,"03-Jul-2020","waikato river","Rural",16,"Lowland"
"24166","hikutaia river at old maratoto rd","ew-00005",1.50616455606914e-317,"waikato","wrc","lowland","Forest",-37.288795732785,175.67173017253,"03-Jul-2020","waihou river","Forest",18,"Lowland"
"24172","hinemaiaia river at sh1","ew-00006",1.55581420095102e-317,"waikato","wrc","upland","Forest",-38.8545947922,176.021352892194,"03-Jul-2020","waikato river","Forest",449,"Upland"
"36706","kaniwhaniwha stm at wright rd","ew-00007",1.51588727391365e-317,"waikato","wrc","lowland","Rural",-37.8705990863712,175.140831756912,"03-Jul-2020","waikato river","Rural",19,"Lowland"
