"CouncilSiteID","Date","Value","Method","Measurement","Units","Censored","centype","QC"
1043837,2015-05-01,0.02,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2012-02-29,0.12,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2016-11-30,0.028,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2015-09-10,0.061,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2017-01-09,0.023,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2017-04-03,0.049,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2016-05-11,0.016,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2017-10-02,0.047,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2018-02-04,0.06,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2018-03-08,0.005,"","NH4N","milligram per litre",TRUE,"Left",10
1043837,2018-05-04,0.1,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2016-02-14,0.0097,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2018-04-06,0.005,"","NH4N","milligram per litre",TRUE,"Left",10
1043837,2016-10-10,0.074,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2014-01-08,0.036,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2012-05-04,0.005,"","NH4N","milligram per litre",TRUE,"Left",10
1043837,2012-09-04,0.21,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2012-02-01,0.032,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2012-10-03,0.045,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2012-06-07,0.036,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2012-11-02,0.019,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2019-12-01,0.01,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2020-03-18,0.024,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2017-05-05,0.027,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2017-08-01,0.04,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2017-11-01,0.021,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2016-08-03,0.045,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2018-08-02,0.024,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2016-09-02,0.042,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2018-09-05,0.042,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2018-12-09,0.023,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2019-05-09,0.009,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2018-10-11,0.012,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2019-11-12,0.02,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2012-01-05,0.032,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2014-02-04,0.014,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2014-07-03,0.047,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2013-05-02,0.014,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2012-04-03,0.023,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2015-02-05,0.17,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2020-01-07,0.005,"","NH4N","milligram per litre",TRUE,"Left",10
1043837,2015-07-01,0.026,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2016-03-02,0.02,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2016-04-04,0.035,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2017-06-07,0.051,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2016-07-05,0.051,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2017-12-06,0.012,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2018-06-06,0.063,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2018-11-19,0.013,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2019-02-06,0.007,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2019-07-22,0.034,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2019-04-23,0.005,"","NH4N","milligram per litre",TRUE,"Left",10
1043837,2013-10-09,0.06,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2013-01-08,0.066,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2013-02-07,0.061,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2013-03-08,0.042,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2014-06-04,0.01,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2014-09-04,0.034,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2014-10-09,0.024,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2015-03-05,0.12,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2013-09-05,0.12,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2020-02-12,0.005,"","NH4N","milligram per litre",TRUE,"Left",10
1043837,2012-02-29,0.12,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2015-06-03,0.036,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2012-12-05,0.016,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2013-11-05,0.055,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2016-10-31,0.026,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2015-11-30,0.04,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2017-03-08,0.13,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2015-08-03,0.035,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2015-11-01,0.029,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2016-06-08,0.029,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2017-07-06,0.165,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2017-09-06,0.33,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2018-01-11,0.005,"","NH4N","milligram per litre",TRUE,"Left",10
1043837,2015-09-30,0.048,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2019-03-05,0.005,"","NH4N","milligram per litre",TRUE,"Left",10
1043837,2019-06-04,0.015,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2012-02-01,0.032,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2012-01-05,0.032,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2013-12-03,0.11,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2014-03-06,0.025,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2014-08-05,0.059,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2013-07-02,0.045,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2015-01-08,0.014,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2013-07-31,0.009,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2015-04-01,0.083,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2012-07-05,0.12,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2016-01-24,0.057,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2018-07-04,0.025,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2019-08-14,0.059,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2019-01-07,0.03,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2019-09-04,0.122,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2019-10-13,0.043,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2012-08-02,0.1,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2014-04-03,0.013,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2014-05-02,0.05,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2013-04-03,0.042,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2014-11-05,0.031,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2013-06-11,0.017,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2014-12-02,0.012,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2020-05-01,0.018,"","NH4N","milligram per litre",FALSE,"F",10
1043837,2016-11-30,430,"","ECOLI","scalar",FALSE,"F",10
1043837,2017-07-06,5800,"","ECOLI","scalar",FALSE,"F",10
1043837,2016-01-24,720,"","ECOLI","scalar",FALSE,"F",10
1043837,2017-08-01,690,"","ECOLI","scalar",FALSE,"F",10
1043837,2018-06-06,800,"","ECOLI","scalar",FALSE,"F",10
1043837,2018-04-06,1300,"","ECOLI","scalar",FALSE,"F",10
1043837,2018-11-19,1000,"","ECOLI","scalar",FALSE,"F",10
1043837,2019-06-04,340,"","ECOLI","scalar",FALSE,"F",10
1043837,2013-10-09,2800,"","ECOLI","scalar",FALSE,"F",10
1043837,2012-05-04,250,"","ECOLI","scalar",FALSE,"F",10
1043837,2013-02-07,270,"","ECOLI","scalar",FALSE,"F",10
1043837,2012-09-04,54,"","ECOLI","scalar",FALSE,"F",10
1043837,2012-04-03,510,"","ECOLI","scalar",FALSE,"F",10
1043837,2014-07-03,1200,"","ECOLI","scalar",FALSE,"F",10
1043837,2014-08-05,2500,"","ECOLI","scalar",FALSE,"F",10
1043837,2013-05-02,520,"","ECOLI","scalar",FALSE,"F",10
1043837,2012-10-03,820,"","ECOLI","scalar",FALSE,"F",10
1043837,2014-09-04,790,"","ECOLI","scalar",FALSE,"F",10
1043837,2014-10-09,750,"","ECOLI","scalar",FALSE,"F",10
1043837,2015-02-05,880,"","ECOLI","scalar",FALSE,"F",10
1043837,2015-06-03,470,"","ECOLI","scalar",FALSE,"F",10
1043837,2013-11-05,7200,"","ECOLI","scalar",FALSE,"F",10
1043837,2015-07-01,200,"","ECOLI","scalar",FALSE,"F",10
1043837,2017-01-09,680,"","ECOLI","scalar",FALSE,"F",10
1043837,2017-04-03,650,"","ECOLI","scalar",FALSE,"F",10
1043837,2015-09-30,890,"","ECOLI","scalar",FALSE,"F",10
1043837,2015-08-03,440,"","ECOLI","scalar",FALSE,"F",10
1043837,2018-01-11,1600,"","ECOLI","scalar",FALSE,"F",10
1043837,2016-09-02,810,"","ECOLI","scalar",FALSE,"F",10
1043837,2018-12-09,600,"","ECOLI","scalar",FALSE,"F",10
1043837,2019-05-09,500,"","ECOLI","scalar",FALSE,"F",10
1043837,2019-08-14,600,"","ECOLI","scalar",FALSE,"F",10
1043837,2019-01-07,800,"","ECOLI","scalar",FALSE,"F",10
1043837,2019-09-04,30000,"","ECOLI","scalar",FALSE,"F",10
1043837,2014-01-08,650,"","ECOLI","scalar",FALSE,"F",10
1043837,2014-03-06,450,"","ECOLI","scalar",FALSE,"F",10
1043837,2013-03-08,390,"","ECOLI","scalar",FALSE,"F",10
1043837,2013-04-03,250,"","ECOLI","scalar",FALSE,"F",10
1043837,2014-11-05,760,"","ECOLI","scalar",FALSE,"F",10
1043837,2015-04-01,420,"","ECOLI","scalar",FALSE,"F",10
1043837,2015-05-01,280,"","ECOLI","scalar",FALSE,"F",10
1043837,2019-12-01,500,"","ECOLI","scalar",FALSE,"F",10
1043837,2020-02-12,130,"","ECOLI","scalar",FALSE,"F",43
1043837,2016-04-04,1200,"","ECOLI","scalar",FALSE,"F",10
1043837,2017-03-08,6600,"","ECOLI","scalar",FALSE,"F",10
1043837,2016-05-11,650,"","ECOLI","scalar",FALSE,"F",10
1043837,2016-06-08,350,"","ECOLI","scalar",FALSE,"F",10
1043837,2017-09-06,28000,"","ECOLI","scalar",FALSE,"F",10
1043837,2017-12-06,800,"","ECOLI","scalar",FALSE,"F",10
1043837,2016-02-14,450,"","ECOLI","scalar",FALSE,"F",10
1043837,2018-05-04,360,"","ECOLI","scalar",FALSE,"F",10
1043837,2019-02-06,320,"","ECOLI","scalar",FALSE,"F",10
1043837,2018-10-11,500,"","ECOLI","scalar",FALSE,"F",10
1043837,2019-11-12,300,"","ECOLI","scalar",FALSE,"F",10
1043837,2012-02-01,1100,"","ECOLI","scalar",FALSE,"F",10
1043837,2013-12-03,65000,"","ECOLI","scalar",FALSE,"F",10
1043837,2013-01-08,700,"","ECOLI","scalar",FALSE,"F",10
1043837,2013-07-02,210,"","ECOLI","scalar",FALSE,"F",10
1043837,2015-01-08,240,"","ECOLI","scalar",FALSE,"F",10
1043837,2012-07-05,1400,"","ECOLI","scalar",FALSE,"F",10
1043837,2012-12-05,440,"","ECOLI","scalar",FALSE,"F",10
1043837,2020-03-18,340,"","ECOLI","scalar",FALSE,"F",10
1043837,2016-10-31,740,"","ECOLI","scalar",FALSE,"F",10
1043837,2017-06-07,560,"","ECOLI","scalar",FALSE,"F",10
1043837,2017-10-02,4600,"","ECOLI","scalar",FALSE,"F",10
1043837,2018-02-04,1200,"","ECOLI","scalar",FALSE,"F",10
1043837,2018-03-08,2100,"","ECOLI","scalar",FALSE,"F",10
1043837,2018-08-02,500,"","ECOLI","scalar",FALSE,"F",10
1043837,2015-09-10,430,"","ECOLI","scalar",FALSE,"F",10
1043837,2018-09-05,500,"","ECOLI","scalar",FALSE,"F",10
1043837,2016-10-10,910,"","ECOLI","scalar",FALSE,"F",10
1043837,2015-11-30,490,"","ECOLI","scalar",FALSE,"F",10
1043837,2016-03-02,590,"","ECOLI","scalar",FALSE,"F",10
1043837,2019-07-22,200,"","ECOLI","scalar",FALSE,"F",10
1043837,2012-06-07,5500,"","ECOLI","scalar",FALSE,"F",10
1043837,2013-06-11,400,"","ECOLI","scalar",FALSE,"F",10
1043837,2013-09-05,23000,"","ECOLI","scalar",FALSE,"F",10
1043837,2020-01-07,220,"","ECOLI","scalar",FALSE,"F",10
1043837,2020-05-01,900,"","ECOLI","scalar",FALSE,"F",10
1043837,2015-11-01,640,"","ECOLI","scalar",FALSE,"F",10
1043837,2017-05-05,630,"","ECOLI","scalar",FALSE,"F",10
1043837,2016-07-05,1700,"","ECOLI","scalar",FALSE,"F",10
1043837,2017-11-01,350,"","ECOLI","scalar",FALSE,"F",10
1043837,2016-08-03,260,"","ECOLI","scalar",FALSE,"F",10
1043837,2018-07-04,250,"","ECOLI","scalar",FALSE,"F",10
1043837,2019-03-05,190,"","ECOLI","scalar",FALSE,"F",10
1043837,2019-04-23,2300,"","ECOLI","scalar",FALSE,"F",10
1043837,2019-10-13,700,"","ECOLI","scalar",FALSE,"F",10
1043837,2012-01-05,280,"","ECOLI","scalar",FALSE,"F",10
1043837,2012-08-02,780,"","ECOLI","scalar",FALSE,"F",10
1043837,2012-02-29,3400,"","ECOLI","scalar",FALSE,"F",10
1043837,2014-02-04,500,"","ECOLI","scalar",FALSE,"F",10
1043837,2014-04-03,1300,"","ECOLI","scalar",FALSE,"F",10
1043837,2014-05-02,980,"","ECOLI","scalar",FALSE,"F",10
1043837,2014-06-04,400,"","ECOLI","scalar",FALSE,"F",10
1043837,2014-12-02,210,"","ECOLI","scalar",FALSE,"F",10
1043837,2012-11-02,210,"","ECOLI","scalar",FALSE,"F",10
1043837,2013-07-31,370,"","ECOLI","scalar",FALSE,"F",10
1043837,2015-03-05,420,"","ECOLI","scalar",FALSE,"F",10
1043837,2015-06-03,6.9,"","PH","scalar",FALSE,"F",10
1043837,2013-11-05,7.2,"","PH","scalar",FALSE,"F",10
1043837,2015-09-10,6.84,"","PH","scalar",FALSE,"F",10
1043837,2015-08-03,6.65,"","PH","scalar",FALSE,"F",10
1043837,2017-08-01,6.87,"","PH","scalar",FALSE,"F",10
1043837,2016-01-24,6.64,"","PH","scalar",FALSE,"F",10
1043837,2017-12-06,7.06,"","PH","scalar",FALSE,"F",10
1043837,2018-08-02,6.76,"","PH","scalar",FALSE,"F",10
1043837,2018-05-04,6.95,"","PH","scalar",FALSE,"F",10
1043837,2016-09-02,6.74,"","PH","scalar",FALSE,"F",10
1043837,2018-11-19,7.3,"","PH","scalar",FALSE,"F",10
1043837,2019-02-06,7.2,"","PH","scalar",FALSE,"F",10
1043837,2019-03-05,7.05,"","PH","scalar",FALSE,"F",10
1043837,2018-10-11,7.3,"","PH","scalar",FALSE,"F",10
1043837,2019-06-04,7.2,"","PH","scalar",FALSE,"F",10
1043837,2019-11-12,7.07,"","PH","scalar",FALSE,"F",10
1043837,2012-01-05,6.79,"","PH","scalar",FALSE,"F",10
1043837,2013-10-09,7.3,"","PH","scalar",FALSE,"F",10
1043837,2013-12-03,6.32,"","PH","scalar",FALSE,"F",10
1043837,2012-08-02,6.38,"","PH","scalar",FALSE,"F",43
1043837,2012-05-04,6.7,"","PH","scalar",FALSE,"F",10
1043837,2014-04-03,6.49,"","PH","scalar",FALSE,"F",10
1043837,2013-03-08,7,"","PH","scalar",FALSE,"F",10
1043837,2014-06-04,7.1,"","PH","scalar",FALSE,"F",10
1043837,2014-09-04,7.1,"","PH","scalar",FALSE,"F",10
1043837,2012-10-03,6.83,"","PH","scalar",FALSE,"F",43
1043837,2013-06-11,6.7,"","PH","scalar",FALSE,"F",10
1043837,2013-06-11,6.18,"","PH","scalar",FALSE,"F",10
1043837,2014-12-02,6.65,"","PH","scalar",FALSE,"F",10
1043837,2013-07-02,7,"","PH","scalar",FALSE,"F",10
1043837,2012-11-02,7.5,"","PH","scalar",FALSE,"F",10
1043837,2015-03-05,6.39,"","PH","scalar",FALSE,"F",10
1043837,2015-04-01,6.8,"","PH","scalar",FALSE,"F",10
1043837,2020-01-07,6.88,"","PH","scalar",FALSE,"F",10
1043837,2020-02-12,6.84,"","PH","scalar",FALSE,"F",10
1043837,2020-03-18,6.89,"","PH","scalar",FALSE,"F",10
1043837,2020-05-01,6.64,"","PH","scalar",FALSE,"F",10
1043837,2012-12-05,7.2,"","PH","scalar",FALSE,"F",10
1043837,2017-01-09,7.04,"","PH","scalar",FALSE,"F",10
1043837,2017-05-05,6.68,"","PH","scalar",FALSE,"F",10
1043837,2018-01-11,7.5,"","PH","scalar",FALSE,"F",10
1043837,2018-02-04,6.47,"","PH","scalar",FALSE,"F",10
