"CouncilSiteID","Date","Value","Measurement","Units","Censored","CenType","QC","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Lat","Long","accessDate","Catchment","Landcover","Altitude","AltitudeCl"
"are are creek at kaituna tuamarina track","11-Jul-18","170","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
"are are creek at kaituna tuamarina track","08-Aug-18","270","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
"are are creek at kaituna tuamarina track","06-Sep-18","13","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
"are are creek at kaituna tuamarina track","10-Oct-18","30","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
"are are creek at kaituna tuamarina track","13-Nov-18","100","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
"are are creek at kaituna tuamarina track","13-Dec-18","40","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
"are are creek at kaituna tuamarina track","16-Jan-19","20","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
"are are creek at kaituna tuamarina track","13-Feb-19","39","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
"are are creek at kaituna tuamarina track","13-Mar-19","700","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
"are are creek at kaituna tuamarina track","10-Apr-19","29","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
"are are creek at kaituna tuamarina track","15-May-19","150","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
"are are creek at kaituna tuamarina track","12-Jun-19","170","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
"are are creek at kaituna tuamarina track","08-Jul-19","54","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
"are are creek at kaituna tuamarina track","15-Aug-19","30","ECOLI","number/100ml",FALSE,"FALSE","0","are are creek at kaituna tuamarina track","mdc-00001",11017507,"marlborough","mdc","lowland","Rural",-41.46644209,173.82486088,"09-Jul-2020","unstated","Rural",60,"Lowland"
