"CouncilSiteID","Date","Value","Measurement","Units","Censored","CenType","QC","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Catchment","Lat","Long","accessDate","Landcover","Altitude","AltitudeCl"
"brook at burn pl","19-Sep-07","0.005","NH4","",TRUE,"Left","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","19-Nov-07","0.005","NH4","",TRUE,"Left","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","13-Mar-08","0.012","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","28-May-08","0.006","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","15-Sep-08","0.005","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","10-Dec-08","0.006","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","16-Mar-09","0.007","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","26-May-09","0.005","NH4","",TRUE,"Left","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","12-Aug-09","0.005","NH4","",TRUE,"Left","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","24-Nov-09","0.005","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","02-Mar-10","0.006","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","24-May-10","0.005","NH4","",TRUE,"Left","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","09-Aug-10","0.006","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","02-Nov-10","0.005","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","01-Mar-11","0.005","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","25-Aug-11","0.005","NH4","",TRUE,"Left","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","16-Nov-11","0.005","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","20-Mar-12","0.008","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","25-May-12","0.009","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","23-Aug-12","0.005","NH4","",TRUE,"Left","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","21-Nov-12","0.006","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","17-Sep-13","0.005","NH4","",TRUE,"Left","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","04-Nov-13","0.008","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","16-Dec-13","0.005","NH4","",TRUE,"Left","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","26-Mar-14","0.005","NH4","",TRUE,"Left","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","19-May-14","0.005","NH4","",TRUE,"Left","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","20-Aug-14","0.005","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","03-Dec-14","0.0085","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","14-Jan-15","0.033","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","11-Feb-15","0.005","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","12-Mar-15","0.006","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","14-Apr-15","0.006","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","19-May-15","0.005","NH4","",TRUE,"Left","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","17-Jun-15","0.005","NH4","",TRUE,"Left","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","13-Jul-15","0.012","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
"brook at burn pl","12-Aug-15","0.015","NH4","",FALSE,"FALSE","0","brook at burn pl","ncc-00011",10011130,"nelson","ncc","lowland","Forest","unstated",-41.28921044,173.29170139,"16-Jul-2020","Forest",80,"Lowland"
