"CouncilSiteID","Date","Value","Measurement","Units","Censored","CenType","QC","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Lat","Long","accessDate","Catchment","Landcover","Altitude","AltitudeCl"
"rw aorere @ le comte","15-Feb-05","0.004","DRP","g/m3",FALSE,"FALSE","0","aorere at le comte","tdc-00002",10000552,"tasman","tdc","lowland","Rural",-40.66933395,172.64390894,"14-Aug-2020","aorere","Forest",2,"Lowland"
"rw aorere @ le comte","19-Apr-05","0.002","DRP","g/m3",TRUE,"Left","0","aorere at le comte","tdc-00002",10000552,"tasman","tdc","lowland","Rural",-40.66933395,172.64390894,"14-Aug-2020","aorere","Forest",2,"Lowland"
"rw aorere @ le comte","27-Jul-05","0.003","DRP","g/m3",FALSE,"FALSE","0","aorere at le comte","tdc-00002",10000552,"tasman","tdc","lowland","Rural",-40.66933395,172.64390894,"14-Aug-2020","aorere","Forest",2,"Lowland"
"rw aorere @ le comte","27-Oct-05","0.002","DRP","g/m3",FALSE,"FALSE","0","aorere at le comte","tdc-00002",10000552,"tasman","tdc","lowland","Rural",-40.66933395,172.64390894,"14-Aug-2020","aorere","Forest",2,"Lowland"
"rw aorere @ le comte","14-Feb-06","0.002","DRP","g/m3",TRUE,"Left","0","aorere at le comte","tdc-00002",10000552,"tasman","tdc","lowland","Rural",-40.66933395,172.64390894,"14-Aug-2020","aorere","Forest",2,"Lowland"
"rw aorere @ le comte","18-Jul-06","0.004","DRP","g/m3",FALSE,"FALSE","0","aorere at le comte","tdc-00002",10000552,"tasman","tdc","lowland","Rural",-40.66933395,172.64390894,"14-Aug-2020","aorere","Forest",2,"Lowland"
"rw aorere @ le comte","10-Oct-06","0.01","DRP","g/m3",FALSE,"FALSE","0","aorere at le comte","tdc-00002",10000552,"tasman","tdc","lowland","Rural",-40.66933395,172.64390894,"14-Aug-2020","aorere","Forest",2,"Lowland"
"rw aorere @ le comte","14-Feb-07","0.002","DRP","g/m3",FALSE,"FALSE","0","aorere at le comte","tdc-00002",10000552,"tasman","tdc","lowland","Rural",-40.66933395,172.64390894,"14-Aug-2020","aorere","Forest",2,"Lowland"
"rw aorere @ le comte","18-Apr-07","0.002","DRP","g/m3",FALSE,"FALSE","0","aorere at le comte","tdc-00002",10000552,"tasman","tdc","lowland","Rural",-40.66933395,172.64390894,"14-Aug-2020","aorere","Forest",2,"Lowland"
"rw aorere @ le comte","19-Jul-07","0.004","DRP","g/m3",FALSE,"FALSE","0","aorere at le comte","tdc-00002",10000552,"tasman","tdc","lowland","Rural",-40.66933395,172.64390894,"14-Aug-2020","aorere","Forest",2,"Lowland"
