Site code,Date,Alkalinity Total,Ammoniacal nitrogen,Biochemical oxygen demand 5day,Black disc transparency,Conductivity @ 20'C,Dissolved Oxygen,Dissolved Oxygen Saturation %,Dissolved reactive phosphorus,E.coli bacteria,Enterococci bacteria,Faecal Coliforms,Flow,Nitrate nitrogen,pH,Suspended solids,Temperature,Total nitrogen,Total phosphorus,Turbidity,Adj Absorbance 340,Adj Absorbance 440,,Absorbance @ 340nm Filtered,Absorbance @ 440nm Filtered,Absorbance @ 770nm Filtered
MGH000950,13-Jul-95,16,0.043,2.1,0.023,5.2,10,89,0.011,,1200,2500,82.5,0.19,6.9,620,9.6,1.623,0.553,190,0.07,0.013,,0.072,0.015,0.002
MRK000420,13-Jul-95,26,0.063,0.8,0.7,10.8,10.3,95,0.006,,800,1000,4.58,1.06,7.2,13,11.3,1.45,0.055,5,0.027,0.006,,0.059,0.012,0.001
PAT000200,13-Jul-95,11,0.0015,0.25,2.63,4.3,10.9,95,0.004,,4,14,0.58,0.03,7,1,7,0.111,0.011,0.5,0.027,0.005,,0.031,0.007,0.002
PAT000360,13-Jul-95,19,0.059,0.9,1.18,7.8,10.7,97,0.015,,70,120,6.74,0.8,7.4,4,9.8,1.062,0.036,2,0.026,0.005,,0.06,0.012,0.001
PNH000200,13-Jul-95,16,0.016,0.6,1.13,7.4,11.1,97,0.011,,23,120,0.91,0.11,7.3,14,8,0.372,0.034,3.7,0.044,0.009,,0.054,0.011,0.001
PNH000900,13-Jul-95,26,0.088,1,0.95,17.9,10.9,97,0.034,,160,280,3.21,2.52,7.4,9,10,2.886,0.081,3.7,0.036,0.007,,0.053,0.012,0.001
STY000300,13-Jul-95,21,0.0015,0.25,2.32,6,11.2,97,0.008,,4,4,5.5,0.04,7.5,7,8.3,0.091,0.013,0.8,0.014,0.002,,0.079,0.018,0.002
WGG000500,13-Jul-95,20,0.031,0.5,1.03,8.4,10.8,96,0.008,,120,210,4.85,1.1,7.3,9,9.2,1.438,0.034,2.8,0.023,0.005,,0.064,0.012,0
WKH000500,13-Jul-95,21,0.01,0.25,1.8,6.8,11,97,0.008,,160,270,11.61,0.2,7.4,2,8.9,0.322,0.018,1.1,0.026,0.006,,0.055,0.012,0
MGH000950,09-Aug-95,27,0.036,2.3,0.05,7,10.4,93,0.005,,1200,2600,80.3,0.16,7.2,530,9.9,1.521,0.51,190,0.058,0.011,,0.054,0.011,0
MRK000420,09-Aug-95,16,0.24,4.9,0.1,6.3,10.4,95,0.038,,6000,13000,15.9,0.59,6.9,110,11,2.429,0.468,39,0.052,0.008,,0.048,0.009,0
PAT000200,09-Aug-95,8,0.005,0.25,1.33,2.9,11.1,97,0.008,,3,18,1.54,0.06,6.8,2,6.8,0.211,0.016,1,0.066,0.012,,0.05,0.01,0
PAT000360,09-Aug-95,16,0.202,2.4,0.3,6.1,10.6,97,0.05,,390,2200,15.78,0.73,7.1,20,10,1.58,0.172,9,0.049,0.01,,0.036,0.007,0
PNH000200,09-Aug-95,10,0.026,1,0.23,4.8,11.2,96,0.01,,55,930,3.77,0.11,6.9,23,7.4,0.411,0.085,9,0.113,0.022,,0.041,0.009,0.001
PNH000900,09-Aug-95,16,0.247,3.3,0.19,8.8,11.2,97,0.029,,570,2900,8.51,0.63,7.1,73,9.1,1.663,0.294,26,0.087,0.017,,0.064,0.016,0.004
STY000300,09-Aug-95,11,0.005,0.25,0.75,3.2,11.7,98,0.006,,15,1,45,0.03,7.1,21,7,0.111,0.022,4.8,0.037,0.006,,0.104,0.036,0.01
WGG000500,09-Aug-95,16,0.118,1.8,0.24,6,10.8,96,0.023,,330,2700,8.7,0.76,7.1,35,9,1.608,0.186,14,0.048,0.009,,0.058,0.014,0.003
WKH000500,09-Aug-95,12,0.057,0.9,0.38,4,11,96,0.013,,400,670,27.75,0.14,7,14,8.6,0.441,0.049,5,0.058,0.01,,0.043,0.009,0
MGH000950,13-Sep-95,31,0.025,0.25,0.65,8.8,11.3,102,0.004,,13,75,10.4,0.22,7.4,9,10.2,0.421,0.024,7.1,0.029,0.005,,0.065,0.014,0.001
MRK000420,13-Sep-95,32,0.029,0.25,2.2,13.4,11.3,102,0.0015,,50,220,2.07,1.34,7.4,3,10.4,1.464,0.008,1.9,0.015,0.001,,0.056,0.012,0.001
PAT000200,13-Sep-95,21,0.009,0.25,7.5,6.2,12,101,0.012,,2,1,0.248,0.03,7.4,1,5.5,0.331,0.015,0.6,0.007,0.001,,0.067,0.014,0.002
PAT000360,13-Sep-95,25,0.074,0.25,3.28,9.8,11.4,103,0.022,,16,47,3.81,1.03,7.6,1,9.8,1.189,0.031,1.2,0.009,0,,0.09,0.018,0
PNH000200,13-Sep-95,21,0.018,0.25,2.38,8.5,11.2,100,0.016,,3,8,0.466,0.12,7.4,1,8.9,0.211,0.016,1.7,0.024,0.004,,0.045,0.009,0
PNH000900,13-Sep-95,32,0.308,0.25,1.85,18.2,11.2,101,0.027,,43,240,1.23,1.44,7.6,2,10.8,1.658,0.046,1.7,0.024,0.004,,0.038,0.007,0.001
STY000300,13-Sep-95,37,0.009,0.25,7.33,9.6,11.8,102,0.014,,1,8,2.8,0.04,7.8,1,8,0.081,0.018,0.5,0.005,0,,0.041,0.008,0
WGG000500,13-Sep-95,27,0.032,0.25,1.2,11.9,11.4,103,0.007,,27,100,3.97,1.59,7.5,5,10,1.735,0.029,2.2,0.009,0.001,,0.068,0.012,0.001
WKH000500,13-Sep-95,45,0.046,0.25,4.85,11.9,12.3,104,0.02,,8,50,4.38,0.13,7.9,1,7.3,0.181,0.024,0.6,0.009,0.001,,0.042,0.008,0
