Region,Code,Place
Whangarei,WH1,Waipapa at Forest Ranger
Whangarei,WH2,Waitangi at Wakelins
Whangarei,WH3,Mangakahia at Titoki Br.
Whangarei,WH4,Wairu at Purua
Auckland,AK1,Hoteo at Gubbs
Auckland,AK2,Rangitopuni at Walkers
Hamilton,HM1,Waipa at Otewa
Hamilton,HM2,Waipa at Whatawhata
Hamilton,HM3,Waikato at Hamilton Traffic
Hamilton,HM4,Waikato at Rangiriri
Hamilton,HM5,Waihou at Te Aroha
Hamilton,HM6,Ohinemuri at Karangahake
Rotorua,RO1,Tarawera at Lake outlet
Rotorua,RO2,Tarawera at Awakaponga
Rotorua,RO3,Rangitaiki at Murapara
Rotorua,RO4,Whirinaki at Galatea
Rotorua,RO5,Rangitaiki at Te Teko
Rotorua,RO6,Waikato at Reids Farm
Turangi,TU1,Whanganui at Te Maire
Turangi,TU2,Tongariro at Turangi
Wanganui,WA1,Waitara at Bertrand Rd
Wanganui,WA2,Manganui at SH3
Wanganui,WA3,Waingongoro at SH45
Wanganui,WA4,Whanganui at Paetawa
Wanganui,WA5,Rangitikei at Mangaweka
Wanganui,WA6,Rangitikei at Kakariki
Wanganui,WA7,Manawatu at Weber Rd
Wanganui,WA8,Manawatu at Teachers Coll.
Wanganui,WA9,Manawatu at Opiki Br.
Gisborne,GS1,Waipoa at Kanakanaia
Gisborne,GS2,Waikohu at No.1 Br.
Gisborne,GS3,Motu at Waitangirua
Gisborne,GS4,Motu at Houpoto
Havelock,HV1,Makaroro at Burnt Br.
Havelock,HV2,Tukituki at Red Br.
Havelock,HV3,Ngaruroro at Chesterhope
Havelock,HV4,Ngaruroro at Kuripapango
Havelock,HV5,Mohaka at Raupunga
Wellington,WN1,Hutt at Boulcott
Wellington,WN2,Hutt at Kaitoke
Wellington,WN3,Ruamahanga at Waihenga
Wellington,WN4,Ruamahanga at Wardells
Wellington,WN5,Ruamahanga at SH2
Nelson,NN1,Motueka at Woodstock
Nelson,NN2,Motueka at Gorge
Nelson,NN3,Wairau at Dip Flat
Nelson,NN4,Wairau at Tuamarina
Nelson,NN5,Buller at Longford
Greymouth,GY1,Buller at Te Kuha
Greymouth,GY2,Grey at Dobson
Greymouth,GY3,Grey at Waipuna
Greymouth,GY4,Haast at Roaring Billy
Christchurch,CH1,Hurunui at Mandamus
Christchurch,CH2,Hurunui at SH1 Br.
Christchurch,CH3,Waimakariri at Gorge
Christchurch,CH4,Waimakariri above old HW
Tekapo,TK1,Opihi at Waipopo
Tekapo,TK2,Opihi at Rockwood
Tekapo,TK3,Opuha at Skipton Br.
Tekapo,TK4,Waitaki at Kurow
Tekapo,TK5,Hakatakamea above MH Br.
Tekapo,TK6,Waitaki at SH1 Br.
Alexandra,AX1,Clutha at Luggate Br.
Alexandra,AX2,Kawarau at Chards
Alexandra,AX3,Shotover at Bowens Peak
Alexandra,AX4,Clutha at Millers Flat
Dunedin,DN1,Taieri at Tiroiti
Dunedin,DN2,Sutton at SH87
Dunedin,DN3,Taieri at Outram
Dunedin,DN4,Clutha at Balclutha
Dunedin,DN5,Mataura at Seaward Down
Dunedin,DN6,Mataura at Parawa
Dunedin,DN7,Oreti at Lumsden
Dunedin,DN8,Oreti at Riverton HW
Dunedin,DN9,Waiau at Tuatapere
Dunedin,DN10,Monowai below Gates
