"CouncilSiteID","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Lat","Long","accessDate","Landcover","Altitude","Order","StreamOrder"
"100007","waiharakeke at stringers road","nrc-00028",1009997,"northland","nrc","lowland","rural",-35.39381151,174.01971179,"23-Jun-2020","P",21,"5","1"
"100194","hatea at mair park","nrc-00019",1018018,"northland","nrc","lowland","urban",-35.71100271,174.32972329,"23-Jun-2020","U",29,"4","4"
"100237","mangahahuru at main road","nrc-00013",1016447,"northland","nrc","lowland","exotic",-35.63994339,174.31310476,"23-Jun-2020","EF",117,"3","3"
"100281","mangahahuru at apotu road","nrc-00014",1015857,"northland","nrc","lowland","rural",-35.61771787,174.26008474,"23-Jun-2020","P",88,"4","4"
"100363","awanui at fndc","nrc-00016",1004333,"northland","nrc","lowland","rural",-35.12158307,173.27541636,"23-Jun-2020","P",21,"5","5"
"100370","awanui at waihue channel","nrc-00017",1004083,"northland","nrc","lowland","rural",-35.10803978,173.22728661,"23-Jun-2020","P",13,"5","5"
"101038","mangakahia at titoki","nrwqn-00021",1018598,"northland","nrc","lowland","rural",-35.73415795,174.05051642,"23-Jun-2020","P",16,"6","6"
"101524","waipapa at landing","nrc-00031",1006063,"northland","nrc","lowland","rural",-35.20326296,173.96839515,"23-Jun-2020","P",24,"1","3&1"
"101530","kerikeri at stone store","nrc-00021",1006289,"northland","nrc","lowland","rural",-35.21718382,173.96285807,"23-Jun-2020","P",52,"5","5&1"
"101625","mangere at knight road","nrc-00001",1017791,"northland","nrc","lowland","rural",-35.69795439,174.1449511,"23-Jun-2020","P",94,"5","1&5"
"101753","wairua at purua","nrwqn-00022",1016617,"northland","nrc","lowland","rural",-35.65281793,174.15189542,"23-Jun-2020","P",144,"6","6"
"102248","waiotu at sh1","nrc-00012",1013585,"northland","nrc","lowland","rural",-35.53221197,174.22856874,"23-Jun-2020","P",100,"5","5"
"102249","whakapara at cableway","nrc-00011",1013917,"northland","nrc","lowland","rural",-35.54190088,174.27149499,"23-Jun-2020","P",93,"5","5"
"102256","kaihu at gorge","nrc-00006",1019201,"northland","nrc","lowland","rural",-35.76264196,173.68526146,"23-Jun-2020","P",107,"5","5"
"102257","manganui at mititai road","nrc-00002",1023081,"northland","nrc","lowland","rural",-35.96148471,174.11295815,"23-Jun-2020","P",20,"6","6"
"102258","opouteke at suspension bridge","nrc-00008",1017632,"northland","nrc","lowland","exotic",-35.69565634,173.86768807,"23-Jun-2020","EF",182,"5","5&1"
"102674","kaeo at dip road","nrc-00020",1003935,"northland","nrc","lowland","rural",-35.09785338,173.77159365,"23-Jun-2020","P",19,"5","5"
"103178","waitangi at waimate north road","nrc-00010",1008027,"northland","nrc","lowland","rural",-35.29616152,173.90069715,"23-Jun-2020","P",88.5,"4","4&2"
"103304","waipoua at sh12","nrc-00007",1016579,"northland","nrc","lowland","native",-35.65250409,173.57039274,"23-Jun-2020","IF",185.5,"4","4&2"
"1043837","papakura @ alfriston-ardmore rd","lawa-102239",2007351,"auckland","arc","lowland","rural",-37.0064500003998,174.958219999583,"23-Jun-2020","P",53,"4","3&4"
"105008","ruakaka at flyger road","nrc-00026",1021503,"northland","nrc","lowland","rural",-35.86945027,174.40261082,"23-Jun-2020","P",14,"4","4"
"105231","punakitere at taheke","nrc-00005",1011729,"northland","nrc","lowland","rural",-35.46260455,173.66127167,"23-Jun-2020","P",31,"5","6"
"105532","victoria at victoria valley road","nrc-00015",1004839,"northland","nrc","lowland","native",-35.147225,173.40764898,"23-Jun-2020","IF",92,"4","4"
"108359","waiarohia at second avenue","nrc-00004",1018445,"northland","nrc","lowland","urban",-35.72266387,174.31624099,"23-Jun-2020","U",7.66666666666667,"3","3&4"
"108941","waipao at draffins road","nrc-00030",1018522,"northland","nrc","lowland","rural",-35.72655755,174.12530358,"23-Jun-2020","P",74.5,"4","4&3"
"108978","mangamuka at iwitaua road","nrc-00022",1006091,"northland","nrc","lowland","native",-35.20920885,173.54106138,"23-Jun-2020","IF",20,"4","5"
"108979","oruru at oruru road","nrc-00024",1002906,"northland","nrc","lowland","rural",-35.03863042,173.49052107,"23-Jun-2020","P",14,"5","5"
"109020","utakura at horeke road","nrc-00027",1008814,"northland","nrc","lowland","rural",-35.3399122,173.62625659,"23-Jun-2020","P",163,"4","4"
"109021","hakaru at topuni","nrc-00018",1026482,"northland","nrc","lowland","rural",-36.20376405,174.49424394,"23-Jun-2020","P",102.5,"5","5&2"
"109096","mangakahia at twin bridges","nrc-00009",1015928,"northland","nrc","lowland","rural",-35.62991807,173.85405607,"23-Jun-2020","P",122.5,"6","6&1"
"109098","waimamaku at sh12","nrc-00029",1014099,"northland","nrc","lowland","rural",-35.55860768,173.44871601,"23-Jun-2020","P",67.5,"5","5&2"
"110431","otaika at otaika valley road","nrc-00045",1019622,"northland","nrc","lowland","rural",-35.77783168,174.27764197,"23-Jun-2020","P",91,"4","1&4"
"110603","ngunguru at coalhill lane","lawa-100668",1016568,"northland","nrc","lowland","rural",-35.64242325,174.42564673,"23-Jun-2020","P",68.5,"4","4"
"43601","waitangi stream","arc-00028",2009665,"auckland","arc","lowland","rural",-37.2270234530618,174.739817460997,"23-Jun-2020","P",23.25,"3","3&1"
"43807","puhinui","arc-00079",2007136,"auckland","arc","lowland","urban",-36.9926573593278,174.870259273813,"23-Jun-2020","U",20,"3","3"
"43807","puhinui ltb","arc-00022",2007136,"auckland","arc","lowland","urban",-36.9926573593278,174.870259273813,"23-Jun-2020","U",20,"3","3"
"438100","whangamarie stream","arc-00029",2009245,"auckland","arc","lowland","rural",-37.1706900003216,174.842429999729,"23-Jun-2020","P",38,"2","2"
"43829","ngakaroa","arc-00009",2009507,"auckland","arc","lowland","rural",-37.1954699997178,174.97350999991,"23-Jun-2020","P",165,"3","3"
"43856","papakura ltb","arc-00021",2007536,"auckland","arc","lowland","urban",-37.0281570217399,174.92321720323,"23-Jun-2020","P",17,"4","4"
"44603","cascades ltb","arc-00001",2005866,"auckland","arc","upland","native",-36.8888897276789,174.522114739379,"23-Jun-2020","IF",64,"2","4"
"45313","kumeu @ weza","arc-00003",2004945,"auckland","arc","lowland","urban",-36.7761949059392,174.560030905611,"23-Jun-2020","P",37.75,"4","4&1"
"45373","riverhead forest stream","arc-00031",2004547,"auckland","arc","lowland","exotic",-36.7368760528028,174.535816947487,"23-Jun-2020","EF",104,"2","1&2"
"45415","kaukapakapa","arc-00057",2003453,"auckland","arc","lowland","rural",-36.6305980747211,174.518986395919,"23-Jun-2020","P",66,"5","5"
