Site Name,Site Number,Latitude,Longitude,Altitude Class,Land Use,Sampling Frequency Last 5,Sampling Frequency All
Papakura Stream @ Porchester Road Bridge,43856,-37.02795,174.92501,lowland,rural,Monthly,Monthly
Puhinui @ Drop Structure,43807,-36.99258,174.87012,lowland,urban,Monthly,Monthly
Vaughn Stream @ Lower Weir,7506,-36.68437,174.73955,lowland,rural,Monthly,Monthly
Wairoa River @ Tourist Road,8516,-37.01335,175.05319,lowland,native,Monthly,Monthly
Waiwera Stream @ Upper Waiwera Road,7104,-36.55098,174.6605,lowland,rural,Monthly,Monthly
West Hoe @ Halls,7206,-36.57872,174.6576,upland,native,Monthly,Monthly
Waitangi @ Waitangi Falls Bridge.,43601,-37.22697,174.73983,lowland,rural,Monthly,Monthly
Whangamaire @ Woodhouse Road,438100,-37.17069,174.84243,lowland,rural,Monthly,Monthly
Wairoa Trib @ Caitchons Rd,8568,-37.09308,175.10047,upland,native,Monthly,Monthly
Riverhead @ Ararimu Valley Road,45373,-36.73586,174.53559,upland,exotic,Monthly,Monthly
Makarau @ Railway,45505,-36.55704,174.52113,lowland,rural,Monthly,Monthly
Omaru @ Maybury Street,8249,-36.88052,174.863,lowland,urban,Monthly,Monthly
Kaukapakapa @ Taylors,45415,-36.6306,174.51899,lowland,rural,Monthly,Monthly
Avondale Stream @ Shadbolt Park,8019,-36.92329,174.69178,lowland,urban,Monthly,Monthly
Papakura @ Alfriston/Ardmore Rd,1043837,-37.00645,174.95822,lowland,rural,Monthly,Monthly
Nukumea @ Upper Site,7171,-36.57117,174.66983,upland,native,Monthly,Monthly
Onetangi @ Waiheke Rd,74401,-36.79168,175.08737,upland,rural,Monthly,Monthly
Cascades @ Whakanewha,74701,-36.81832,175.08472,upland,rural,Monthly,Monthly
Hoteo River @ Gubbs,45703,-36.38438,174.50989,lowland,rural,Monthly,Monthly
Oteha River @ Days Bridge,7811,-36.73191,174.69479,upland,urban,Monthly,Monthly
Rangitopuni at Walkers,7805,-36.73702,174.61939,lowland,rural,Monthly,Monthly
Cascades Stream @ Confluence,44603,-36.88865,174.52165,lowland,native,Monthly,Monthly
Kumeu River At Weza Lane,45313,-36.77658,174.56054,lowland,rural,Monthly,Monthly
Lucas @ Gills Road,7830,-36.72308,174.6962,lowland,urban,Monthly,Monthly
Redwood Stream @ Forestry H.Q.,6811,-36.44847,174.6488,upland,exotic,Monthly,Monthly
Mahurangi @ Warkworth Water Treatment Plant,6804,-36.39951,174.66004,lowland,rural,Monthly,Monthly
Matakana @ Wenzlicks Farm,6604,-36.34443,174.71055,lowland,rural,Monthly,Monthly
Ngakoroa Stream @ Mill Rd,43829,-37.19547,174.97351,upland,rural,Monthly,Monthly
Oakley Creek @ Carrington,8110,-36.87531,174.70508,lowland,urban,Monthly,Monthly
Okura Creek @ Awanohi Rd,7502,-36.68415,174.69584,lowland,rural,Monthly,Monthly
Opanuku Stream @ Candia Road Bridge,7904,-36.89519,174.59551,lowland,rural,Monthly,Monthly
Otaki @ Middlemore Crescent,8219,-36.96659,174.84565,lowland,urban,Monthly,Monthly
Otara @ East Tamaki Rd,8214,-36.96228,174.87998,lowland,urban,Monthly,Monthly
Otara Stream @ Kennel Hill,8205,-36.9557,174.89063,lowland,urban,Monthly,Monthly
Pakuranga @ Botany Rd,8217,-36.91324,174.91608,lowland,urban,Monthly,Monthly
Pakuranga @ Greenmount Drive,8215,-36.93337,174.9029,lowland,urban,Monthly,Monthly
