NO LONGER USED - MEAUREMENTS FROM TRANSFER TABLE< SITES FROM SITE TABLE
Council,VarName,Type
Environment Canterbury,Nitrate-N Nitrite-N,Measurement
Environment Canterbury,Total Nitrogen,Measurement
Environment Canterbury,Ammoniacal Nitrogen,Measurement
Environment Canterbury,Dissolved Reactive Phosphorus,Measurement
Environment Canterbury,Total Phosphorus,Measurement
Environment Canterbury,Turbidity,Measurement
Environment Canterbury,pH (Field),Measurement
Environment Canterbury,Black Disc Clarity,Measurement
Environment Canterbury,E. coli,Measurement
Environment Canterbury,WQ Sample,Measurement
